repo,test_id,framework,line,name,raw_code,ui_action_category,locator_present,raw_framework_api,normalized_strategy,locator_composition,robustness_signal,evidence_basis,selector_literal_kind,selector_channel,selector_value_origin,locator_strategy_inferred,locator_evidence_basis,locator_composition_evidence_basis,manual_locator_strategy_ok,manual_locator_strategy_should_be,manual_locator_composition_ok,manual_locator_composition_should_be,manual_selector_literal_kind_ok,manual_selector_literal_kind_should_be,manual_notes,event_snippet,snippet_truncated,file_path,enclosing_function_or_helper_snippet,test_body_context_snippet
CopilotKit/CopilotKit,c2c23029738c71c3f28f316841f2460f,Playwright,50,page.getByText,"page.getByText(""No deals yet"")",locator_query,True,page.getByText,text_content,unknown,readable_text_signal,regex_fallback,text,text,inline_literal,text_content,regex_fallback,unresolved,correct,n/a,correct,n/a,correct,n/a,Boundary-tolerant RQ3 review: locator strategy/composition/channel acceptable.,"page.getByText(""No deals yet"")",false,,,
FuelLabs/fuels-wallet,d42613106e4eb7c6c2e15ea30adc2c5d,Playwright,143,"getByAriaLabel(page, `Export ${data.accounts[0].name}`).click","getByAriaLabel(page, `Export ${data.accounts[0].name}`).click()",click,True,getByAriaLabel,unknown,parameterized_locator,opaque_or_unresolved_signal,unresolved,variable,variable,variable,unknown,unresolved,regex_fallback,correct,n/a,correct,n/a,correct,n/a,Boundary-tolerant RQ3 review: locator strategy/composition/channel acceptable.,"getByAriaLabel(page, `Export ${data.accounts[0].name}`).click()",false,,,
appsmithorg/appsmith,7dbd52241a970bb3a3da600ce3bde297,Cypress,965,cy.get(welcomePage.verifyPassword).type,"cy.get(welcomePage.verifyPassword).type(Cypress.env(""PASSWORD""))",text_input,True,cy.get,css_selector,direct_chain,implementation_coupled_signal,ast_call_chain,unknown,unknown,member_path,custom_locator_helper,ast_call_chain,ast_call_chain,correct,n/a,correct,n/a,correct,n/a,Boundary-tolerant RQ3 review: locator strategy/composition/channel acceptable.,"cy.get(welcomePage.verifyPassword).type(Cypress.env(""PASSWORD""))",false,,,
appsmithorg/appsmith,a94d1fe0a8192c322cf80ab7ecb19d0c,Cypress,108,cy.get,"cy.get(
        ""[data-rbd-draggable-id='EditActions1'] input[type='text']"",
      )",locator_query,True,cy.get,css_selector,standalone_locator_query,stable_test_contract_signal,regex_fallback,data_attribute,data_attribute,inline_literal,css_selector,regex_fallback,regex_fallback,correct,n/a,correct,n/a,correct,n/a,Boundary-tolerant RQ3 review: locator strategy/composition/channel acceptable.,"cy.get(
        ""[data-rbd-draggable-id='EditActions1'] input[type='text']"",
      )",false,,,
UI5/webcomponents,54a19a6a9756cd51b76e45a6ec4ec01f,Cypress,49,cy.get,"cy.get(""@ddr"")",locator_query,True,cy.get,custom_locator_helper,custom_command_mediated,opaque_or_unresolved_signal,source_metadata,cypress_alias_reference,cypress_alias_reference,inline_literal,custom_locator_helper,source_metadata,source_metadata,correct,n/a,correct,n/a,correct,n/a,Boundary-tolerant RQ3 review: locator strategy/composition/channel acceptable.,"cy.get(""@ddr"")",false,,,
cypress-io/cypress-realworld-app,6f15859185e0521c18f749278cbf5aa8,Cypress,64,"cy.getBySelLike(""transaction-item"").first().click","cy.getBySelLike(""transaction-item"").first().click({ force: true })",click,True,cy.getBySelLike,unknown,positional_refinement,opaque_or_unresolved_signal,unresolved,unknown,unknown,inline_literal,unknown,unresolved,regex_fallback,correct,n/a,correct,n/a,correct,n/a,Boundary-tolerant RQ3 review: locator strategy/composition/channel acceptable.,"cy.getBySelLike(""transaction-item"").first().click({ force: true })",false,,,
apache/superset,7b01f43ee3c3d28f4cf326b7aeeb2ba8,Cypress,571,cy.get,"cy.get(""div#TABS-TOP div[role='tab']"")",locator_query,True,cy.get,text_content,direct_chain,readable_text_signal,ast_call_chain,text,text,identifier,custom_locator_helper,ast_call_chain,ast_call_chain,correct,n/a,correct,n/a,correct,n/a,Boundary-tolerant RQ3 review: locator strategy/composition/channel acceptable.,"cy.get(""div#TABS-TOP div[role='tab']"")",false,,,
floating-ui/floating-ui,ae992d0fdac57980f4dc786e345b4389,Playwright,158,click,"click(page, `[data-testid=""offset-10""]`)",click,True,click,test_id_or_data_contract,unknown,stable_test_contract_signal,regex_fallback,test_id,test_id,variable,test_id_or_data_contract,regex_fallback,unresolved,correct,n/a,correct,n/a,correct,n/a,Boundary-tolerant RQ3 review: locator strategy/composition/channel acceptable.,"click(page, `[data-testid=""offset-10""]`)",false,,,
bbc/simorgh,c9c60b8e3d6cc13ba89d5eb582654c17,Cypress,205,cy.get,"cy.get('[data-testid=""billboard-curation-grid""]')",locator_query,True,cy.get,test_id_or_data_contract,standalone_locator_query,stable_test_contract_signal,regex_fallback,test_id,test_id,inline_literal,test_id_or_data_contract,regex_fallback,regex_fallback,correct,n/a,correct,n/a,correct,n/a,Boundary-tolerant RQ3 review: locator strategy/composition/channel acceptable.,"cy.get('[data-testid=""billboard-curation-grid""]')",false,,,
linode/manager,99dc9e00d32068a954f0ea8306aeb521,Cypress,372,"ui.regionSelect
      .findBySelectedItem(`${initialRegion.label} (${initialRegion.id})`)
      .click()
      .type","ui.regionSelect
      .findBySelectedItem(`${initialRegion.label} (${initialRegion.id})`)
      .click()
      .type(`${newRegion.label}{enter}`)",text_input,True,"t
      .findBySelectedItem",unknown,parameterized_locator,opaque_or_unresolved_signal,unresolved,css_compound,css_compound,inline_literal,unknown,unresolved,regex_fallback,correct,n/a,correct,n/a,correct,n/a,Boundary-tolerant RQ3 review: locator strategy/composition/channel acceptable.,"ui.regionSelect
      .findBySelectedItem(`${initialRegion.label} (${initialRegion.id})`)
      .click()
      .type(`${newRegion.label}{enter}`)",false,,,
