sample_origin,repo,test_id,framework,line,name,raw_code,verification_intent,verification_intent_final,verification_intent_evidence_basis,verification_intent_matched_signal,assertion_matcher,assertion_semantic_matcher_ast,assertion_subject_kind,assertion_subject_root_ast,assertion_subject_path_json,assertion_subject_text_ast,assertion_subject_semantic_role_ast,assertion_callback_intent_hint_ast,assertion_framework_context,assertion_library_syntax,manual_intent_ok,manual_intent_should_be,manual_notes
,webiny/webiny-js,e6f21c04181b8d958a545ac9da5cc8f5,Cypress,89,assert.isTrue,assert.isTrue(data),unspecified,unspecified,lexical_oracle_category_fallback,generic_assertion,,,,,,,,,,,correct,n/a,Verification intent label is acceptable.
,webiny/webiny-js,cbcdb2390c995e17e8923674ed4b877b,Cypress,47,assert.isTrue,assert.isTrue(data),unspecified,unspecified,lexical_oracle_category_fallback,generic_assertion,,,,,,,,,,,correct,n/a,Verification intent label is acceptable.
,tagspaces/tagspaces,fa9e1b947ba9e04e40835d81ba2e0da4,Playwright,374,expect(videoLocator).toBeSeekableMediaElement,"expect(videoLocator).toBeSeekableMediaElement(6.9, 7)",unspecified,unspecified,lexical_oracle_category_fallback,generic_assertion,,,,,,,,,,,correct,n/a,Verification intent label is acceptable.
,FuelLabs/fuels-wallet,fd65aea179c8cc3c0f259d66c6f3f906,Playwright,822,expect(transferStatus).rejects.toThrowError,"expect(transferStatus).rejects.toThrowError(
          'address is not authorized for this connection.'
        )",unspecified,unspecified,lexical_oracle_category_fallback,generic_assertion,,,,,,,,,,,correct,n/a,Verification intent label is acceptable.
,tagspaces/tagspaces,ea628df284dbab64f1ffae52c1362d0a,Playwright,374,expect(videoLocator).toBeSeekableMediaElement,"expect(videoLocator).toBeSeekableMediaElement(6.9, 7)",unspecified,unspecified,lexical_oracle_category_fallback,generic_assertion,,,,,,,,,,,correct,n/a,Verification intent label is acceptable.
,tagspaces/tagspaces,8ef96d737638f3d54ad1e400fe2ef5e9,Playwright,374,expect(videoLocator).toBeSeekableMediaElement,"expect(videoLocator).toBeSeekableMediaElement(6.9, 7)",unspecified,unspecified,lexical_oracle_category_fallback,generic_assertion,,,,,,,,,,,correct,n/a,Verification intent label is acceptable.
,tagspaces/tagspaces,9d6cb99096223fc68d0c96f1c287e004,Playwright,374,expect(videoLocator).toBeSeekableMediaElement,"expect(videoLocator).toBeSeekableMediaElement(6.9, 7)",unspecified,unspecified,lexical_oracle_category_fallback,generic_assertion,,,,,,,,,,,correct,n/a,Verification intent label is acceptable.
,FuelLabs/fuels-wallet,fd65aea179c8cc3c0f259d66c6f3f906,Playwright,667,expect(signedMessagePromise).rejects.toThrowError,"expect(signedMessagePromise).rejects.toThrowError(
          'address is not authorized for this connection.'
        )",unspecified,unspecified,lexical_oracle_category_fallback,generic_assertion,,,,,,,,,,,correct,n/a,Verification intent label is acceptable.
,ChromeDevTools/devtools-frontend,40032e7e43432881b975452d64d5e85a,Puppeteer,134,assert.deepInclude,"assert.deepInclude(events, {action: 'performSearch', queryString: 'abc'})",unspecified,unspecified,lexical_oracle_category_fallback,generic_assertion,,,,,,,,,,,correct,n/a,Verification intent label is acceptable.
,ChromeDevTools/devtools-frontend,40032e7e43432881b975452d64d5e85a,Puppeteer,136,assert.deepInclude,"assert.deepInclude(events, {action: 'previousSearchResult'})",unspecified,unspecified,lexical_oracle_category_fallback,generic_assertion,,,,,,,,,,,correct,n/a,Verification intent label is acceptable.
,ChromeDevTools/devtools-frontend,40032e7e43432881b975452d64d5e85a,Puppeteer,135,assert.deepInclude,"assert.deepInclude(events, {action: 'nextSearchResult'})",unspecified,unspecified,lexical_oracle_category_fallback,generic_assertion,,,,,,,,,,,correct,n/a,Verification intent label is acceptable.
,ChromeDevTools/devtools-frontend,130cbd67ac14fb92764500d77f037560,Puppeteer,41,assert.deepEqual,"assert.deepEqual(callbackArgs, '[{""onShown"":{},""onHidden"":{},""onSearch"":{}}]')",unspecified,unspecified,lexical_oracle_category_fallback,generic_assertion,,,,,,,,,,,correct,n/a,Verification intent label is acceptable.
,AudiusProject/apps,c25497d2afc717de76d6906aa7260b61,Playwright,37,"expect(socialActions.unrepostButton, 'Check for unrepost (ok if fails)')
    .toBeVisible()
    .catch","expect(socialActions.unrepostButton, 'Check for unrepost (ok if fails)')
    .toBeVisible()
    .catch(() => {})",element_presence,element_presence,lexical_oracle_category_fallback,visibility_oracle,,,,,,,,,,,correct,n/a,Verification intent label is acceptable.
,OHIF/Viewers,e5611f497dd6755b16a7b673004a3844,Playwright,97,expect(await rightPanelPageObject.measurementsPanel.panel.getMeasurementCount()).toBeGreaterThan,"expect(await rightPanelPageObject.measurementsPanel.panel.getMeasurementCount()).toBeGreaterThan(
    0
  )",collection_size,collection_size,ast_assertion_matcher,matcher:toBeGreaterThan,toBeGreaterThan,,unknown,,[],await rightPanelPageObject.measurementsPanel.panel.getMeasurementCount(),,,playwright,playwright,correct,n/a,Verification intent label is acceptable.
,JetBrains/kotlin-web-site,24f85adb2c31300dd931ba1affd1a1b2,Playwright,113,expect(newPage.url()).toContain,expect(newPage.url()).toContain('https://www.jetbrains.com/'),navigation_outcome,navigation_outcome,ast_assertion_subject,subject:page;basis:ast_page_call;matcher:tocontain,toContain,,page,newPage,"[""newPage"",""url""]",newPage.url(),scalar_property,,playwright,playwright,correct,n/a,Verification intent label is acceptable.
,mattermost/mattermost,632a6644ade9310507d5e71359195d4f,Cypress,56,"expect(hasLicenseKey, hasLicenseKeyMessage).to.equal","expect(hasLicenseKey, hasLicenseKeyMessage).to.equal(true)",value_or_attribute_correctness,value_or_attribute_correctness,ast_assertion_subject_semantic_role,subject_semantic_role:scalar_property,equal,,unknown,expect,"[""expect"",""to"",""equal""]","expect(hasLicenseKey, hasLicenseKeyMessage).to.equal(true)",scalar_property,,cypress,jest,correct,n/a,Verification intent label is acceptable.
,payloadcms/payload,9da029f95c02d128feeff054c42aaab6,Playwright,308,expect(async () => await expect(localeButton).toBeEnabled()).toPass,"expect(async () => await expect(localeButton).toBeEnabled()).toPass({
      timeout: POLL_TOPASS_TIMEOUT,
    })",interactive_state,interactive_state,ast_assertion_matcher,matcher:toPass,toPass,,unknown,,[],async () => await expect(localeButton).toBeEnabled(),,,playwright,playwright,correct,n/a,Verification intent label is acceptable.
,ionic-team/ionic-framework,53cd9d5f3ead5ac604f7e42e59327b37,Playwright,20,expect(page.url()).toContain,expect(page.url()).toContain('#/child/1'),navigation_outcome,navigation_outcome,ast_assertion_subject,subject:page;basis:ast_page_call;matcher:tocontain,toContain,,page,page,"[""page"",""url""]",page.url(),api_object_contract,,playwright,playwright,correct,n/a,Verification intent label is acceptable.
,ionic-team/ionic-framework,208c5f84d4a1879fafde81655d1d03c2,Playwright,235,expect(container).toHaveScreenshot,expect(container).toHaveScreenshot(screenshot(`select-solid-focus`)),visual_regression,visual_regression,ast_assertion_subject_semantic_role,subject_semantic_role:visual_snapshot_api,toHaveScreenshot,,unknown,container,"[""container""]",container,visual_snapshot_api,,playwright,playwright,correct,n/a,Verification intent label is acceptable.
,porsche-design-system/porsche-design-system,37974db71c9272176c1dca55dc29e5c4,Playwright,367,expect(await getMaskImage(input)).toBe,expect(await getMaskImage(input)).toBe('none'),style_or_visual_state,style_or_visual_state,ast_assertion_matcher,matcher:toBe,toBe,,unknown,,[],await getMaskImage(input),,,playwright,playwright,correct,n/a,Verification intent label is acceptable.
,documenso/documenso,c69062c051b9f17123393deebfa81cd1,Playwright,247,expect(page1!.count).toBe,expect(page1!.count).toBe(5),collection_size,collection_size,lexical_collection_context,count_property_context,toBe,,unknown,count,"[""count""]",page1!.count,collection_size,,playwright,playwright,correct,n/a,Verification intent label is acceptable.
,SonicJs-Org/sonicjs,3c570a4626c2984666e913f329eeb36f,Playwright,99,expect(status).toBe,expect(status).toBe(200),network_contract,network_contract,lexical_api_status_context,matcher:tobe;bare_status_http_code_context,toBe,,unknown,status,"[""status""]",status,scalar_property,,playwright,playwright,correct,n/a,Verification intent label is acceptable.
,actualbudget/actual,5f2bda86a73ac16f37917613f8b057e5,Playwright,117,expect(page).toMatchThemeScreenshots,expect(page).toMatchThemeScreenshots(),visual_regression,visual_regression,lexical_oracle_category_fallback,visual_snapshot_oracle,,,,,,,,,,,correct,n/a,Verification intent label is acceptable.
