rq,framework,api_pattern,receiver_or_namespace,emitted_feature_type,mapped_category,category_definition,scope_or_gate,implementation_source,notes
RQ1,Playwright,page.goto,page,ui_action,navigation_bootstrap,Entry navigation that establishes the page under test,Counts only when eligible under the RQ1 line-order setup gate,05-implementation/test-feature-extraction/lib/phase2b/actionSignatureExtractor.js; 05-implementation/rq-aggregation/setup_teardown_intent.py,Also appears as RQ4 navigation when treated as a user action
RQ1,Playwright,page.route; browserContext.route,page; browserContext,network_mock,network_mock_or_spy,Network route mock or spy setup,Eligible when emitted as setup/control/network_mock or expanded from hooks/helpers,05-implementation/test-feature-extraction/lib/phase2b/setupTeardownPatternExtractor.js; 05-implementation/rq-aggregation/setup_teardown_intent.py,Structured framework API category network_mock
RQ1,Playwright,page.unroute; browserContext.unroute,page; browserContext,network_mock,cleanup_restore_state,Network mock teardown or route cleanup,Teardown or cleanup intent required,05-implementation/test-feature-extraction/lib/phase2b/setupTeardownPatternExtractor.js; 05-implementation/rq-aggregation/setup_teardown_intent.py,Cleanup category wins over network setup
RQ1,Playwright,request.get/post/put/patch/delete/fetch; page.request,request; page.request,setup,test_data_or_backend_state,API request that seeds or mutates backend state,Request target or method must indicate backend data setup or mutation,05-implementation/test-feature-extraction/lib/phase2b/setupTeardownPatternExtractor.js; 05-implementation/rq-aggregation/setup_teardown_intent.py,"Request domain is resolved from method, target, and payload evidence"
RQ1,Playwright,storageState; context storage state,browserContext; context,setup,auth_session_state,Authentication or reusable session state setup,Storage-state or auth/session evidence required,05-implementation/test-feature-extraction/lib/phase2b/setupTeardownPatternExtractor.js; 05-implementation/rq-aggregation/setup_teardown_intent.py,Can also support browser/client state when auth evidence is absent
RQ1,Playwright,context.addCookies; clearCookies; localStorage/sessionStorage operations,browserContext; page; storage,control,browser_context_or_client_state,Browser context or client-side state manipulation,Eligible when stateful setup/control evidence is present,05-implementation/rq-aggregation/classify.py; 05-implementation/rq-aggregation/setup_teardown_intent.py,Cookie/local storage cleanup may map to cleanup_restore_state
RQ1,Playwright,page.addInitScript; context.addInitScript,page; browserContext,control,browser_context_or_client_state,Client context initialization before page behavior,Eligible as environment/client setup,05-implementation/rq-aggregation/classify.py; 05-implementation/rq-aggregation/setup_teardown_intent.py,Init scripts are setup only when used to shape test environment
RQ1,Playwright,clock; viewport; geolocation; permissions,page; context; browser,control,time_device_permission_emulation,Time device permission or viewport emulation,Eligible when emitted as setup/control/time_control or matched by environment pattern,05-implementation/test-feature-extraction/lib/phase2b/setupTeardownPatternExtractor.js; 05-implementation/rq-aggregation/setup_teardown_intent.py,Viewport is environment setup not a direct user action for RQ1
RQ1,Playwright,setup/seed/login helper calls,helper or page object,helper_call,generic_setup_teardown_utility,Named setup helper without a more specific domain,Helper body or name evidence required,05-implementation/rq-aggregation/setup_teardown_intent.py,Specific child operations override generic helper intent
RQ1,Cypress,cy.visit,cy,ui_action,navigation_bootstrap,Entry navigation that establishes the page under test,Counts only when eligible under the RQ1 line-order setup gate,05-implementation/test-feature-extraction/lib/phase2b/setupTeardownPatternExtractor.js; 05-implementation/rq-aggregation/setup_teardown_intent.py,Also appears as RQ4 navigation when treated as a user action
