repo,test_id,framework,line,name,raw_code,sync_pattern,sync_target,sync_placement,is_fixed_delay,sync_arg_kind,sync_call_kind_ast,sync_arg_kind_ast,is_condition_based,is_network_based,is_assertion_retry,is_framework_auto_wait_inferred,sync_evidence_basis,manual_sync_pattern_ok,manual_sync_pattern_should_be,manual_sync_target_ok,manual_sync_target_should_be,manual_sync_arg_kind_ok,manual_sync_arg_kind_should_be,manual_notes,event_snippet,snippet_truncated,file_path,enclosing_function_or_helper_snippet,test_body_context_snippet
tinacms/tinacms,a2d0ca289aaf426a9842676312a22fb2,Playwright,59,page.waitForResponse,"page.waitForResponse(
    (resp) => resp.url().includes('/graphql') && resp.status() === 200,
    { timeout: 15000 }
  )",network_wait,network,helper,False,alias_expression,wait_api,network,False,True,False,False,ast_wait_api,correct,n/a,correct,n/a,correct,n/a,Sync pattern/target/argument kind match evidence.,"page.waitForResponse(
    (resp) => resp.url().includes('/graphql') && resp.status() === 200,
    { timeout: 15000 }
  )",false,,,
jupyterlab/jupyterlab,11c17fdf6a6d6eceb2b1692c74351527,Playwright,145,"page.getByText('8', { exact: true }).waitFor","page.getByText('8', { exact: true }).waitFor()",element_state_wait,element,test_body,False,,wait_api,condition,True,False,False,False,ast_wait_api,correct,n/a,correct,n/a,correct,n/a,Sync pattern/target/argument kind match evidence.,"page.getByText('8', { exact: true }).waitFor()",false,,,
silevis/reactgrid,575e612c33b97d9ea18006190127d71a,Cypress,125,utils.wait,utils.wait(),unresolved_custom_wait,,test_body,False,,wait_api,none,False,False,False,False,ast_call,correct,n/a,correct,n/a,correct,n/a,Sync pattern/target/argument kind match evidence.,utils.wait(),false,,,
openobserve/openobserve,6d38c662f74716a9d6c89d5cfc09c77a,Playwright,140,page.waitForLoadState,"page.waitForLoadState('networkidle', { timeout: 15000 })",navigation_or_load_wait,navigation,hook,False,,wait_api,,True,False,False,False,regex_fallback,correct,n/a,correct,n/a,correct,n/a,Sync pattern/target/argument kind match evidence.,"page.waitForLoadState('networkidle', { timeout: 15000 })",false,,,
payloadcms/payload,8460b20d4a71794d1d20a79c6a6e9b8e,Playwright,432,"expect(() =>
      expect(frame.locator(renderedPageTitleLocator)).toHaveText(`For Testing: ${initialTitle}`),
    ).toPass","expect(() =>
      expect(frame.locator(renderedPageTitleLocator)).toHaveText(`For Testing: ${initialTitle}`),
    ).toPass({
      timeout: POLL_TOPASS_TIMEOUT,
    })",assertion_retry_wait,assertion,test_body,False,,assertion,,False,False,True,False,regex_fallback,correct,n/a,correct,n/a,correct,n/a,Sync pattern/target/argument kind match evidence.,"expect(() =>
      expect(frame.locator(renderedPageTitleLocator)).toHaveText(`For Testing: ${initialTitle}`),
    ).toPass({
      timeout: POLL_TOPASS_TIMEOUT,
    })",false,,,
super-productivity/super-productivity,1b22fbfae42771b5c86dd438feda5b73,Playwright,417,"page
        .waitForEvent","page
        .waitForEvent('download', { timeout: 60000 })",event_wait,event,test_body,False,,wait_api,,True,False,False,False,regex_fallback,correct,n/a,correct,n/a,correct,n/a,Sync pattern/target/argument kind match evidence.,"page
        .waitForEvent('download', { timeout: 60000 })",false,,,
surveyjs/survey-creator,d7ee46d8b1e85f302a04b8a1e2db6b23,Playwright,70,page.waitForFunction,"page.waitForFunction(() => !!window[""creator""])",predicate_or_custom_condition,predicate,helper,False,,predicate,predicate,True,False,False,False,ast_wait_api,correct,n/a,correct,n/a,correct,n/a,Sync pattern/target/argument kind match evidence.,"page.waitForFunction(() => !!window[""creator""])",false,,,
openobserve/openobserve,3ca3f535907a8b0773c01488788fa693,Playwright,69,page.waitForResponse,"page.waitForResponse(
      (response) => {
        const url = response.url();
        return (
          ( /\/api\/.*\/dashboards/.test(url) ||
            /\/api\/.*\/folders/.test(url) ) &&
          response.status() === 200
        );
      },
      { timeout: 20000 }
    )",network_wait,network,helper,False,alias_expression,wait_api,network,False,True,False,False,ast_wait_api,correct,n/a,correct,n/a,correct,n/a,Sync pattern/target/argument kind match evidence.,"page.waitForResponse(
      (response) => {
        const url = response.url();
        return (
          ( /\/api\/.*\/dashboards/.test(url) ||
            /\/api\/.*\/folders/.test(url) ) &&
          response.status() === 200
        );
      },
      { timeout: 20000 }
    )",false,,,
jupyterlab/jupyterlab,dd45e2f2d46492047d18b1394489d0c1,Playwright,125,page.waitForResponse,"page.waitForResponse(
        response =>
          response.request().method() === 'PUT' &&
          /api\/workspaces/.test(response.request().url()) &&
          response.request().postDataJSON().data['layout-restorer:data'][
            'main'
          ] === null
      )",network_wait,network,test_body,False,alias_expression,wait_api,network,False,True,False,False,ast_wait_api,correct,n/a,correct,n/a,correct,n/a,Sync pattern/target/argument kind match evidence.,"page.waitForResponse(
        response =>
          response.request().method() === 'PUT' &&
          /api\/workspaces/.test(response.request().url()) &&
          response.request().postDataJSON().data['layout-restorer:data'][
            'main'
          ] === null
      )",false,,,
SonicJs-Org/sonicjs,0bab1debd54fac4d5c074f38fd251572,Playwright,382,expect(page).toHaveURL,expect(page).toHaveURL(/\/admin/),assertion_retry_wait,assertion,hook,False,,assertion,assertion_retry,False,False,True,False,ast_assertion_matcher,correct,n/a,correct,n/a,correct,n/a,Sync pattern/target/argument kind match evidence.,expect(page).toHaveURL(/\/admin/),false,,,
