sample_origin,repo,test_id,framework,file_path,line,feature_type,category,name,raw_code,ui_action_category,terminal_action_ast,locator_strategy_ast,input_channel_ast,control_flow_enclosure,control_flow_loop_depth,control_flow_branch_depth,control_flow_branch_kind,control_flow_branch_arm,control_flow_source,control_flow_parent_kind,control_flow_parent_line,action_snippet,enclosing_control_flow_snippet,enclosing_function_or_callback_snippet,test_body_or_helper_context_snippet,snippet_truncated,manual_enclosure_ok,manual_notes
control_flow_stratified,springload/react-accessible-accordion,35727156fa3259d6e14de8f42e377f41,Puppeteer,integration/wai-aria.spec.js,357,ui_action,unknown_action,page.evaluate,"page.evaluate(
                    (panel) => panel.id,
                    panelHandle,
                )",unknown_action,evaluate,,,loop,1,0,,,test_body,ForOfStatement,345,"page.evaluate(
                    (panel) => panel.id,
                    panelHandle,
                )","for (const itemHandle of itemsHandles) {
                const buttonHandle = await itemHandle.$(
                    '[data-accordion-component=""AccordionItemButton""]',
                );
                const panelHandle = await itemHandle.$(
                    '[data-accordion-component=""AccordionItemPanel""]',
                );

                const buttonAriaControls = await page.evaluate(
                    (button) => button.getAttribute('aria-controls'),
                    buttonHandle,
                );
                const panelId = await page.evaluate(
                    (panel) => panel.id,
                    panelHandle,
                );

                expect(buttonAriaControls).toBeTruthy();
                expect(panelId).toBeTruthy();
                expect(buttonAriaControls).toEqual(panelId);
            }","it(`The accordion header button element has aria-controls set to the ID
            of the element containing the accordion panel content.`, async () => {
            const { browser, page, itemsHandles } = await setup();
            expect(itemsHandles.length).toEqual(3);

            for (const itemHandle of itemsHandles) {
                const buttonHandle = await itemHandle.$(
                    '[data-accordion-component=""AccordionItemButton""]',
                );
                const panelHandle = await itemHandle.$(
                    '[data-accordion-component=""AccordionItemPanel""]',
                );

                const buttonAriaControls = await page.evaluate(
                    (button) => button.getAttribute('aria-controls'),
                    buttonHandle,
                );
                const panelId = await page.evaluate(
                    (panel) => panel.id,
                    panelHandle,
                );

                expect(buttonAriaControls).toBeTruthy();
                expect(panelId).toBeTruthy();
                expect(buttonAriaControls).toEqual(panelId);
            }
        })","async () => {
            const { browser, page, itemsHandles } = await setup();
            expect(itemsHandles.length).toEqual(3);

            for (const itemHandle of itemsHandles) {
                const buttonHandle = await itemHandle.$(
                    '[data-accordion-component=""AccordionItemButton""]',
                );
                const panelHandle = await itemHandle.$(
                    '[data-accordion-component=""AccordionItemPanel""]',
                );

                const buttonAriaControls = await page.evaluate(
                    (button) => button.getAttribute('aria-controls'),
                    buttonHandle,
                );
                const panelId = await page.evaluate(
                    (panel) => panel.id,
                    panelHandle,
                );

                expect(buttonAriaControls).toBeTruthy();
                expect(panelId).toBeTruthy();
                expect(buttonAriaControls).toEqual(panelId);
            }
        }",false,correct,Control-flow enclosure matches loop/branch/context snippet.
control_flow_stratified,appsmithorg/appsmith,e69c4a8d1e82f370ac14d56d01d52366,Cypress,app/client/cypress/support/e2e.js,78,ui_action,navigation,cy.visit,cy.visit(RapidMode.url()),navigation,visit,,,branch,0,2,if,then,hook_or_fixture,if,77,cy.visit(RapidMode.url()),"if (!RapidMode.config.usesDSL) {
      cy.visit(RapidMode.url());
      cy.wait(""@getWorkspace"");
    }","before(function () {
  if (RapidMode.config.enabled) {
    cy.startServerAndRoutes();
    cy.getCookie(""SESSION"").then((cookie) => {
      if (!cookie) {
        cy.LoginFromAPI(Cypress.env(""USERNAME""), Cypress.env(""PASSWORD""));
      }
    });

    if (!RapidMode.config.usesDSL) {
      cy.visit(RapidMode.url());
      cy.wait(""@getWorkspace"");
    }
  }
})","function () {
  if (RapidMode.config.enabled) {
    cy.startServerAndRoutes();
    cy.getCookie(""SESSION"").then((cookie) => {
      if (!cookie) {
        cy.LoginFromAPI(Cypress.env(""USERNAME""), Cypress.env(""PASSWORD""));
      }
    });

    if (!RapidMode.config.usesDSL) {
      cy.visit(RapidMode.url());
      cy.wait(""@getWorkspace"");
    }
  }
}",false,correct,Control-flow enclosure matches loop/branch/context snippet.
control_flow_stratified,ueberdosis/tiptap,ce53d49f4d5a6f73cb68a9aa0f7a32f6,Cypress,demos/src/Examples/Default/React/index.spec.js,57,ui_action,locator_query,cy.get('button').contains,cy.get('button').contains(m.label),locator_query,contains,,,loop,1,0,,,test_body,callback_iteration,53,cy.get('button').contains(m.label),"buttonMarks.forEach(m => {
      cy.get('.tiptap').type('{selectall}Hello world{selectall}')
      cy.get('button').contains('Code').click()
      cy.get('button').contains('Code').click()
      cy.get('button').contains(m.label).should('not.be.disabled')
    })","buttonMarks.forEach(m => {
      cy.get('.tiptap').type('{selectall}Hello world{selectall}')
      cy.get('button').contains('Code').click()
      cy.get('button').contains('Code').click()
      cy.get('button').contains(m.label).should('not.be.disabled')
    })","() => {
    buttonMarks.forEach(m => {
      cy.get('.tiptap').type('{selectall}Hello world{selectall}')
      cy.get('button').contains('Code').click()
      cy.get('button').contains('Code').click()
      cy.get('button').contains(m.label).should('not.be.disabled')
    })
  }",false,correct,Control-flow enclosure matches loop/branch/context snippet.
control_flow_stratified,appsmithorg/appsmith,b29e364da8f4eca6d9ebfea40c2ecac4,Cypress,app/client/cypress/support/commands.js,963,ui_action,text_input,cy.get(welcomePage.password).type,"cy.get(welcomePage.password).type(Cypress.env(""PASSWORD""))",text_input,type,css_selector,ui_text_entry,branch,0,1,if,,caller_context,if,102,"cy.get(welcomePage.password).type(Cypress.env(""PASSWORD""))","ase connection
        db.close();
      };

      // Handling add error
      addRequest.onerror = (event) => {
        console.log(""Error adding key:"", event.target.error);
        // Closing the database connection
        db.close();
      };
    };

    // Handling database opening error
    request.onerror = (event) => {
      console.log(""Error opening database:"", event.target.error);
    };
  });
};

Cypress.Commands.add(""stubPostHeaderReq"", () => {
  // GHSA-j9gf-vw2f-9hrw: server-side strict-mode now requires Origin to match
  // APPSMITH_BASE_URL. Use the live Cypress baseUrl so the intercept produces a
  // valid Origin (the literal string ""Cypress"" used to live here as a synthetic-
  // traffic flag and no longer parses as a URL).
  cy.intercept(""POST"", ""/api/v1/users/invite"", (req) => {
    req.headers[""origin""","Cypress.Commands.add(""createSuperUser"", () => {
  cy.wait(1000);
  cy.get(welcomePage.firstName).should(""be.visible"");
  cy.get(welcomePage.lastName).should(""be.visible"");
  cy.get(welcomePage.email).should(""be.visible"");
  cy.get(welcomePage.password).should(""be.visible"");
  cy.get(welcomePage.verifyPassword).should(""be.visible"");
  cy.get(welcomePage.continueButton).should(""be.disabled"");

  cy.get(welcomePage.firstName).type(Cypress.env(""USERNAME""));
  cy.get(welcomePage.continueButton).should(""be.disabled"");
  cy.get(welcomePage.email).type(Cypress.env(""USERNAME""));
  cy.get(welcomePage.continueButton).should(""be.disabled"");
  cy.get(welcomePage.password).type(Cypress.env(""PASSWORD""));
  cy.get(welcomePage.continueButton).should(""be.disabled"");
  cy.get(welcomePage.verifyPassword).type(Cypress.env(""PASSWORD""));
  cy.get(welcomePage.continueButton).should(""not.be.disabled"");
  cy.get(welcomePage.continueButton).click();

  cy.get(welcomePage.proficiencyGroupButton).eq(0).click();
  cy.get(welcomePage.submitButton).should(""be.disabled"");
  cy.get(welcomePage.useCaseGroupButton).eq(0).click();
  cy.get(welcomePage.submitButton).should(""not.be.disabled"");

  cy.get(welcomePage.submitButton).click();
  //in case of airgapped both anonymous data and newsletter are disabled
  if (Cypress.env(""AIRGAPPED"")) {
    cy.wait(""@createSuperUser"").then((interception) => {
      expect(interception.request.body).to.not.contain(
        ""allowCollectingAnonymou","() => {
  cy.wait(1000);
  cy.get(welcomePage.firstName).should(""be.visible"");
  cy.get(welcomePage.lastName).should(""be.visible"");
  cy.get(welcomePage.email).should(""be.visible"");
  cy.get(welcomePage.password).should(""be.visible"");
  cy.get(welcomePage.verifyPassword).should(""be.visible"");
  cy.get(welcomePage.continueButton).should(""be.disabled"");

  cy.get(welcomePage.firstName).type(Cypress.env(""USERNAME""));
  cy.get(welcomePage.continueButton).should(""be.disabled"");
  cy.get(welcomePage.email).type(Cypress.env(""USERNAME""));
  cy.get(welcomePage.continueButton).should(""be.disabled"");
  cy.get(welcomePage.password).type(Cypress.env(""PASSWORD""));
  cy.get(welcomePage.continueButton).should(""be.disabled"");
  cy.get(welcomePage.verifyPassword).type(Cypress.env(""PASSWORD""));
  cy.get(welcomePage.continueButton).should(""not.be.disabled"");
  cy.get(welcomePage.continueButton).click();

  cy.get(welcomePage.proficiencyGroupButton).eq(0).click();
  cy.get(welcomePage.submitButton).should(""be.disabled"");
  cy.get(welcomePage.useCaseGroupButton).eq(0).click();
  cy.get(welcomePage.submitButton).should(""not.be.disabled"");

  cy.get(welcomePage.submitButton).click();
  //in case of airgapped both anonymous data and newsletter are disabled
  if (Cypress.env(""AIRGAPPED"")) {
    cy.wait(""@createSuperUser"").then((interception) => {
      expect(interception.request.body).to.not.contain(
        ""allowCollectingAnonymousData=true"",
      );
      expect(int",true,correct,Control-flow enclosure matches loop/branch/context snippet.
control_flow_stratified,deltachat/deltachat-desktop,e4c76ba8f2d319342ccae7af6ec2f5d5,Playwright,packages/e2e-tests/tests/composer.spec.ts,100,ui_action,click,page.getByLabel('Messages').getByText(msg).click,page.getByLabel('Messages').getByText(msg).click({ button: 'right' }),click,click,text_content,,loop,1,0,,,hook_or_fixture,ForStatement,90,page.getByLabel('Messages').getByText(msg).click({ button: 'right' }),"for (let i = 1; i <= numDummyChats; i++) {
    await selectChat(i)
    // Just send a/the message to make sure the draft is cleared.
    // In case the draft is actually empty already, type some text.
    const msg = 'dummy message to clear draft'
    await textarea.fill(msg)
    await page.getByRole('button', { name: 'Send' }).click()
    await testDraftIsEmpty()

    // Delete it, to leave no side effects.
    await page.getByLabel('Messages').getByText(msg).click({ button: 'right' })
    await page.getByRole('menuitem', { name: 'Delete' }).click()
    await page
      .getByRole('dialog')
      .getByRole('button', { name: 'Delete' })
      .last()
      .click()
  }","test.afterEach(async () => {
  for (let i = 1; i <= numDummyChats; i++) {
    await selectChat(i)
    // Just send a/the message to make sure the draft is cleared.
    // In case the draft is actually empty already, type some text.
    const msg = 'dummy message to clear draft'
    await textarea.fill(msg)
    await page.getByRole('button', { name: 'Send' }).click()
    await testDraftIsEmpty()

    // Delete it, to leave no side effects.
    await page.getByLabel('Messages').getByText(msg).click({ button: 'right' })
    await page.getByRole('menuitem', { name: 'Delete' }).click()
    await page
      .getByRole('dialog')
      .getByRole('button', { name: 'Delete' })
      .last()
      .click()
  }
})","async () => {
  for (let i = 1; i <= numDummyChats; i++) {
    await selectChat(i)
    // Just send a/the message to make sure the draft is cleared.
    // In case the draft is actually empty already, type some text.
    const msg = 'dummy message to clear draft'
    await textarea.fill(msg)
    await page.getByRole('button', { name: 'Send' }).click()
    await testDraftIsEmpty()

    // Delete it, to leave no side effects.
    await page.getByLabel('Messages').getByText(msg).click({ button: 'right' })
    await page.getByRole('menuitem', { name: 'Delete' }).click()
    await page
      .getByRole('dialog')
      .getByRole('button', { name: 'Delete' })
      .last()
      .click()
  }
}",false,correct,Control-flow enclosure matches loop/branch/context snippet.
control_flow_stratified,super-productivity/super-productivity,68374fed5bba053df69cf73e89bd0980,Playwright,e2e/utils/sync-helpers.ts,170,ui_action,locator_query,page.locator,page.locator('.sync-btn mat-icon.sync-state-ico'),locator_query,locator,,,loop,1,0,,,helper_body,WhileStatement,167,page.locator('.sync-btn mat-icon.sync-state-ico'),"while (Date.now() - startTime < timeout) {
    // Check if sync-state-ico icon exists (shown when hasNoPendingOps)
    // The icon is small (10px) and absolutely positioned, so use count() check
    const syncStateIcon = page.locator('.sync-btn mat-icon.sync-state-ico');
    if ((await syncStateIcon.count()) > 0) {
      // Brief wait for any final state updates to flush through
      await page.waitForTimeout(200);
      return 'success';
    }

    // Check if spinner is gone (sync not in progress)
    const spinnerVisible = await syncPage.syncSpinner.isVisible().catch(() => false);
    if (!spinnerVisible) {
      nonSpinningCount++;
      // After several consecutive checks with no spinner and no error, consider it success
      // This handles cases where the icon check fails but sync actually completed
      if (nonSpinningCount >= requiredNonSpinningChecks) {
        // Final check - make sure sync button is still there and no error shown
        const syncBtnVisible = await syncPage.syncBtn.isVisible().catch(() => false);
        if (syncBtnVisible) {
          // Brief wait for any final state updates to flush through
          await page.waitForTimeout(200);
          return 'success';
        }
      }
    } else {
      nonSpinningCount = 0; // Reset if spinner is visible again
    }

    const conflictDialog = page.locator('dialog-sync-conflict');
    if (await conflictDialog.isVisible()) return 'conflict';

    // Also check for first-sync conflict dialog (mat-d","{
  const startTime = Date.now();

  // Ensure sync button is visible first
  await expect(syncPage.syncBtn).toBeVisible({ timeout: 10000 });

  // Track consecutive non-spinning states to confirm sync is truly complete
  let nonSpinningCount = 0;
  const requiredNonSpinningChecks = 3;

  while (Date.now() - startTime < timeout) {
    // Check if sync-state-ico icon exists (shown when hasNoPendingOps)
    // The icon is small (10px) and absolutely positioned, so use count() check
    const syncStateIcon = page.locator('.sync-btn mat-icon.sync-state-ico');
    if ((await syncStateIcon.count()) > 0) {
      // Brief wait for any final state updates to flush through
      await page.waitForTimeout(200);
      return 'success';
    }

    // Check if spinner is gone (sync not in progress)
    const spinnerVisible = await syncPage.syncSpinner.isVisible().catch(() => false);
    if (!spinnerVisible) {
      nonSpinningCount++;
      // After several consecutive checks with no spinner and no error, consider it success
      // This handles cases where the icon check fails but sync actually completed
      if (nonSpinningCount >= requiredNonSpinningChecks) {
        // Final check - make sure sync button is still there and no error shown
        const syncBtnVisible = await syncPage.syncBtn.isVisible().catch(() => false);
        if (syncBtnVisible) {
          // Brief wait for any final state updates to flush through
          await page.waitForTimeout(200);
          return 'succe","async (
  page: Page,
  syncPage: SyncPage,
  timeout: number = 30000,
): Promise<'success' | 'conflict' | void> => {
  const startTime = Date.now();

  // Ensure sync button is visible first
  await expect(syncPage.syncBtn).toBeVisible({ timeout: 10000 });

  // Track consecutive non-spinning states to confirm sync is truly complete
  let nonSpinningCount = 0;
  const requiredNonSpinningChecks = 3;

  while (Date.now() - startTime < timeout) {
    // Check if sync-state-ico icon exists (shown when hasNoPendingOps)
    // The icon is small (10px) and absolutely positioned, so use count() check
    const syncStateIcon = page.locator('.sync-btn mat-icon.sync-state-ico');
    if ((await syncStateIcon.count()) > 0) {
      // Brief wait for any final state updates to flush through
      await page.waitForTimeout(200);
      return 'success';
    }

    // Check if spinner is gone (sync not in progress)
    const spinnerVisible = await syncPage.syncSpinner.isVisible().catch(() => false);
    if (!spinnerVisible) {
      nonSpinningCount++;
      // After several consecutive checks with no spinner and no error, consider it success
      // This handles cases where the icon check fails but sync actually completed
      if (nonSpinningCount >= requiredNonSpinningChecks) {
        // Final check - make sure sync button is still there and no error shown
        const syncBtnVisible = await syncPage.syncBtn.isVisible().catch(() => false);
        if (syncBtnVisible) {
          // Brief",true,correct,Control-flow enclosure matches loop/branch/context snippet.
control_flow_stratified,swaponline/MultiCurrencyWallet,9bc042aceb412f9482f79cb7d2080bc7,Puppeteer,tests/e2e/appsSmoke.test.js,225,ui_action,navigation,page.goto,page.goto(`${url}#/apps/${app.id}`),navigation,goto,,,branch,0,2,if,then,test_body,if,223,page.goto(`${url}#/apps/${app.id}`),"if (!clicked) {
          const url = page.url().split('#')[0]
          await page.goto(`${url}#/apps/${app.id}`)
        }","it(`${app.title} — clicking tile opens iframe`, async () => {
      const page = await newPage()
      const consoleErrors = []
      page.on('pageerror', (err) => consoleErrors.push(err.message))

      try {
        await goToAppsPage(page)

        const buttons = await page.$$('button')
        let clicked = false
        for (const btn of buttons) {
          const text = await page.evaluate((el) => el.textContent, btn)
          if (text && text.includes(app.title)) {
            try {
              await btn.click()
              clicked = true
              break
            } catch {
              // button not clickable (e.g. hidden nav dropdown), try next
            }
          }
        }

        if (!clicked) {
          const url = page.url().split('#')[0]
          await page.goto(`${url}#/apps/${app.id}`)
        }

        await timeOut(2_000)

        const currentUrl = page.url()
        console.log(`${app.title} — navigated to: ${currentUrl}`)
        expect(currentUrl).toContain(`/apps/${app.id}`)

        const iframe = await page.$('iframe')
        expect(iframe).not.toBeNull()
        console.log(`${app.title} — iframe element found`)

        const iframeSrc = await page.evaluate((el) => el?.getAttribute('src'), iframe)
        console.log(`${app.title} — iframe src: ${iframeSrc}`)
        expect(iframeSrc).toContain(app.urlPattern)
        // Verify theme is forwarded to iframe URL
        expect(iframeSrc","async () => {
      const page = await newPage()
      const consoleErrors = []
      page.on('pageerror', (err) => consoleErrors.push(err.message))

      try {
        await goToAppsPage(page)

        const buttons = await page.$$('button')
        let clicked = false
        for (const btn of buttons) {
          const text = await page.evaluate((el) => el.textContent, btn)
          if (text && text.includes(app.title)) {
            try {
              await btn.click()
              clicked = true
              break
            } catch {
              // button not clickable (e.g. hidden nav dropdown), try next
            }
          }
        }

        if (!clicked) {
          const url = page.url().split('#')[0]
          await page.goto(`${url}#/apps/${app.id}`)
        }

        await timeOut(2_000)

        const currentUrl = page.url()
        console.log(`${app.title} — navigated to: ${currentUrl}`)
        expect(currentUrl).toContain(`/apps/${app.id}`)

        const iframe = await page.$('iframe')
        expect(iframe).not.toBeNull()
        console.log(`${app.title} — iframe element found`)

        const iframeSrc = await page.evaluate((el) => el?.getAttribute('src'), iframe)
        console.log(`${app.title} — iframe src: ${iframeSrc}`)
        expect(iframeSrc).toContain(app.urlPattern)
        // Verify theme is forwarded to iframe URL
        expect(iframeSrc).toMatch(/theme=(dark|light)/)

        const",true,correct,Control-flow enclosure matches loop/branch/context snippet.
control_flow_stratified,cloudtogo/pageplug,55cfc6e0140db9ba501a20bffe74dae2,Cypress,app/client/cypress/support/e2e.js,75,ui_action,navigation,cy.visit,cy.visit(RapidMode.url()),navigation,visit,,,branch,0,2,if,then,hook_or_fixture,if,74,cy.visit(RapidMode.url()),"if (!RapidMode.config.usesDSL) {
      cy.visit(RapidMode.url());
      cy.wait(""@getWorkspace"");
    }","before(function () {
  if (RapidMode.config.enabled) {
    cy.startServerAndRoutes();
    cy.getCookie(""SESSION"").then((cookie) => {
      if (!cookie) {
        cy.LoginFromAPI(Cypress.env(""USERNAME""), Cypress.env(""PASSWORD""));
      }
    });

    //Cypress.Cookies.preserveOnce(""SESSION"", ""remember_token"");
    if (!RapidMode.config.usesDSL) {
      cy.visit(RapidMode.url());
      cy.wait(""@getWorkspace"");
    }
  }
})","function () {
  if (RapidMode.config.enabled) {
    cy.startServerAndRoutes();
    cy.getCookie(""SESSION"").then((cookie) => {
      if (!cookie) {
        cy.LoginFromAPI(Cypress.env(""USERNAME""), Cypress.env(""PASSWORD""));
      }
    });

    //Cypress.Cookies.preserveOnce(""SESSION"", ""remember_token"");
    if (!RapidMode.config.usesDSL) {
      cy.visit(RapidMode.url());
      cy.wait(""@getWorkspace"");
    }
  }
}",false,correct,Control-flow enclosure matches loop/branch/context snippet.
control_flow_stratified,swaponline/MultiCurrencyWallet,cf6503ba3eaac1698ab95e1938fa681f,Puppeteer,tests/e2e/utils.ts,96,ui_action,text_input,wordInput.type,wordInput.type(seed[i]),text_input,type,,ui_text_entry,loop_and_branch,1,1,try_catch,,helper_body_with_caller_context,try_catch,95,wordInput.type(seed[i]),"for (let i = 0; i < 12; i++) {
    await wordInput.type(seed[i])
    await wordInput.press('Enter')
  }","{
  const { page, seed, timeout = 30_000 } = params

  await clickOn({
    page,
    selector: '#preloaderRestoreBtn',
  })
  // app creation
  await timeOut(30_000)

  await page.click('#restoreWalletUseMnemonic')

  await page.waitForSelector('.react-tags__search-input', {
    timeout,
  })

  const wordInput: ElementHandle | null = await page.$(`.react-tags__search-input`)

  if (!wordInput) {
    throw new Error('HTML input for the Mnemonic phrase is not found')
  }

  // remove default seed
  for (let i = 0; i < 12; i++) {
    await wordInput.press('Backspace')
  }

  // type seed
  for (let i = 0; i < 12; i++) {
    await wordInput.type(seed[i])
    await wordInput.press('Enter')
  }

  await page.click('#walletRecoveryButton')

  const isRecovered = await waitSlowLoadSelector(page, '#finishWalletRecoveryButton', timeout, 20)
  if (!isRecovered) {
    throw new Error('Recovery timeout')
  }

  await page.click('#finishWalletRecoveryButton')
}","async (params: ImportWalletParams) => {
  const { page, seed, timeout = 30_000 } = params

  await clickOn({
    page,
    selector: '#preloaderRestoreBtn',
  })
  // app creation
  await timeOut(30_000)

  await page.click('#restoreWalletUseMnemonic')

  await page.waitForSelector('.react-tags__search-input', {
    timeout,
  })

  const wordInput: ElementHandle | null = await page.$(`.react-tags__search-input`)

  if (!wordInput) {
    throw new Error('HTML input for the Mnemonic phrase is not found')
  }

  // remove default seed
  for (let i = 0; i < 12; i++) {
    await wordInput.press('Backspace')
  }

  // type seed
  for (let i = 0; i < 12; i++) {
    await wordInput.type(seed[i])
    await wordInput.press('Enter')
  }

  await page.click('#walletRecoveryButton')

  const isRecovered = await waitSlowLoadSelector(page, '#finishWalletRecoveryButton', timeout, 20)
  if (!isRecovered) {
    throw new Error('Recovery timeout')
  }

  await page.click('#finishWalletRecoveryButton')
}",false,correct,Control-flow enclosure matches loop/branch/context snippet.
control_flow_stratified,swaponline/MultiCurrencyWallet,002370d5c79a4f28df74404147544114,Puppeteer,tests/e2e/appsSmoke.test.js,166,ui_action,unknown_action,page.evaluate,page.evaluate(() => document.body.textContent),unknown_action,evaluate,,,loop_and_branch,1,2,if,then,test_body,if,165,page.evaluate(() => document.body.textContent),"if (!found) {
          const pageText = await page.evaluate(() => document.body.textContent)
          found = pageText.includes(app.title)
        }","it('all apps appear as tiles on #/apps page', async () => {
    const page = await newPage()
    try {
      await goToAppsPage(page)

      for (const app of APPS) {
        const tileSelector = `[data-app-id=""${app.id}""], button`
        const tiles = await page.$$(tileSelector)

        let found = false
        for (const tile of tiles) {
          const text = await page.evaluate((el) => el.textContent, tile)
          if (text && text.includes(app.title)) {
            found = true
            break
          }
        }

        if (!found) {
          const pageText = await page.evaluate(() => document.body.textContent)
          found = pageText.includes(app.title)
        }

        console.log(`App tile ""${app.title}"": ${found ? 'FOUND' : 'MISSING'}`)
        expect(found).toBe(true)
      }

      await takeScreenshot(page, 'Apps_CatalogPage')
    } catch (error) {
      await takeScreenshot(page, 'Apps_CatalogPage_Error')
      throw error
    } finally {
      await page.close()
    }
  })","async () => {
    const page = await newPage()
    try {
      await goToAppsPage(page)

      for (const app of APPS) {
        const tileSelector = `[data-app-id=""${app.id}""], button`
        const tiles = await page.$$(tileSelector)

        let found = false
        for (const tile of tiles) {
          const text = await page.evaluate((el) => el.textContent, tile)
          if (text && text.includes(app.title)) {
            found = true
            break
          }
        }

        if (!found) {
          const pageText = await page.evaluate(() => document.body.textContent)
          found = pageText.includes(app.title)
        }

        console.log(`App tile ""${app.title}"": ${found ? 'FOUND' : 'MISSING'}`)
        expect(found).toBe(true)
      }

      await takeScreenshot(page, 'Apps_CatalogPage')
    } catch (error) {
      await takeScreenshot(page, 'Apps_CatalogPage_Error')
      throw error
    } finally {
      await page.close()
    }
  }",false,correct,Control-flow enclosure matches loop/branch/context snippet.
