repo,test_id,framework,line,name,raw_code,value_summary,input_source_class,input_source_inferred,input_plausibility,input_plausibility_paper_label,value_visibility,input_channel,field_context,input_target_role_ast,input_target_context_ast,input_value_expression_kind_ast,input_endpoint_construction_ast,review_reason,input_evidence_basis,input_origin_kind,input_origin_evidence,external_file_path,field_path,linked_definition_file,linked_definition_line,manual_plausibility_should_be,manual_notes
immich-app/immich,14d2639638c9cb35c6345d244e1bfa29,Playwright,196,input:press:ArrowLeft,page.keyboard.press('ArrowLeft'),ArrowLeft,literal_input,variable_input,technical_or_control_input,technical_or_configuration_or_control_input,visible,keyboard_entry,,keyboard_control_target,,string_literal,,ast_regex_mismatch:source_class,ast_value_argument,,,,,,,n/a,Reviewed review-queue row; use primary source_plausibility_audit_sample for correctness metrics.
VOICEVOX/voicevox,7cea666db68bc98a4e98621b9e0d24fe,Playwright,63,input:press:Enter,"page.keyboard.press(""Enter"")",Enter,literal_input,variable_input,technical_or_control_input,technical_or_configuration_or_control_input,visible,keyboard_entry,,keyboard_control_target,,string_literal,,ast_regex_mismatch:source_class,ast_value_argument,,,,,,,n/a,Reviewed review-queue row; use primary source_plausibility_audit_sample for correctness metrics.
UI5/webcomponents,6cc38efdc4bfa314ae426a656a17c728,Cypress,450,input:realPress:F2,"cy.realPress(""F2"")",F2,literal_input,variable_input,technical_or_control_input,technical_or_configuration_or_control_input,visible,keyboard_input,,keyboard_control_target,,string_literal,,ast_regex_mismatch:source_class,ast_value_argument,,,,,,,n/a,Reviewed review-queue row; use primary source_plausibility_audit_sample for correctness metrics.
UI5/webcomponents,08ee76abc59ba607ce723ccd19306745,Cypress,1252,"input:realPress:[""Control"", ""ArrowRight""]","cy.realPress([""Control"", ""ArrowRight""])","[""Control"", ""ArrowRight""]",literal_input,variable_input,technical_or_control_input,technical_or_configuration_or_control_input,visible,keyboard_input,,keyboard_control_target,,array_literal,,ast_regex_mismatch:source_class,ast_value_argument,,,,,,,n/a,Reviewed review-queue row; use primary source_plausibility_audit_sample for correctness metrics.
Adamant-im/adamant-im,4e0fa82ad8fd3fe555cef419e5a91856,Playwright,283,input:press:Shift+Enter,textarea.press('Shift+Enter'),Shift+Enter,literal_input,variable_input,technical_or_control_input,technical_or_configuration_or_control_input,visible,keyboard_entry,,keyboard_control_target,,string_literal,,ast_regex_mismatch:source_class,ast_value_argument,,,,,,,n/a,Reviewed review-queue row; use primary source_plausibility_audit_sample for correctness metrics.
midas-research/audino,0c9f32feddc6dd83b421c93636fc6597,Cypress,1438,input:type:quantity,cy.get('.cvat-input-frame-quantity').type(quantity),quantity,variable_input,literal_input,not_observable,indeterminate_or_insufficient_evidence,opaque,ui_text_entry,cvat input frame quantity,unknown,.cvat-input-frame-quantity,identifier,,ast_regex_mismatch:source_class,ast_value_argument,,,,,,,n/a,Reviewed review-queue row; use primary source_plausibility_audit_sample for correctness metrics.
midas-research/audino,8885ce53475aeefb26e87ab3357ff510,Cypress,846,input:type:advancedConfigurationParams.overlapSize,cy.get('#overlapSize').type(advancedConfigurationParams.overlapSize),advancedConfigurationParams.overlapSize,variable_input,literal_input,technical_or_control_input,technical_or_configuration_or_control_input,opaque,ui_text_entry,overlap Size,unknown,#overlapSize,member_expression,,ast_regex_mismatch:source_class,ast_object_literal,object_literal_member,advancedConfigurationParams = { ... },,,cvat/tests/cypress/support/const.js,23,n/a,Reviewed review-queue row; use primary source_plausibility_audit_sample for correctness metrics.
midas-research/audino,0a693acfa181d1b0b55e8cb747935773,Cypress,730,input:type:`${attributes.values}{Enter}`,cy.get('.cvat-attribute-values-input').type(`${attributes.values}{Enter}`),`${attributes.values}{Enter}`,variable_input,literal_input,technical_or_control_input,technical_or_configuration_or_control_input,partially_visible,ui_text_entry,cvat attribute values input,unknown,.cvat-attribute-values-input,template_literal,,ast_regex_mismatch:source_class,ast_value_argument,,,,,,,n/a,Reviewed review-queue row; use primary source_plausibility_audit_sample for correctness metrics.
uber/baseweb,4581d9d7b3c534770a752858c1edf95c,Playwright,59,input:press:Backspace,page.keyboard.press('Backspace'),Backspace,literal_input,variable_input,technical_or_control_input,technical_or_configuration_or_control_input,visible,keyboard_entry,,keyboard_control_target,,string_literal,,ast_regex_mismatch:source_class,ast_value_argument,,,,,,,n/a,Reviewed review-queue row; use primary source_plausibility_audit_sample for correctness metrics.
porsche-design-system/porsche-design-system,d0b7132eeb208b440a3c55f7cf0e9d33,Playwright,1328,input:press:Tab,page.keyboard.press('Tab'),Tab,literal_input,variable_input,technical_or_control_input,technical_or_configuration_or_control_input,visible,keyboard_entry,,keyboard_control_target,,string_literal,,ast_regex_mismatch:source_class,ast_value_argument,,,,,,,n/a,Reviewed review-queue row; use primary source_plausibility_audit_sample for correctness metrics.
refactoringhq/tolaria,5674bd694e64491763e0d98609154576,Playwright,40,input:press:Enter,page.keyboard.press('Enter'),Enter,literal_input,variable_input,technical_or_control_input,technical_or_configuration_or_control_input,visible,keyboard_entry,,keyboard_control_target,,string_literal,,ast_regex_mismatch:source_class,ast_value_argument,,,,,,,n/a,Reviewed review-queue row; use primary source_plausibility_audit_sample for correctness metrics.
kawalcovid19/wargabantuwarga.com,5b9151ffcbf6e0a963d595f876a5ea59,Playwright,37,input:press:Enter,"page.getByRole(""textbox"", { name: /cari kontak/i }).press(""Enter"")",Enter,literal_input,variable_input,technical_or_control_input,technical_or_configuration_or_control_input,visible,keyboard_entry,textbox,keyboard_control_target,textbox,string_literal,,ast_regex_mismatch:source_class,ast_value_argument,,,,,,,n/a,Reviewed review-queue row; use primary source_plausibility_audit_sample for correctness metrics.
midas-research/audino,70e76488e1edb06bb921dd4415158c7d,Cypress,839,input:type:advancedConfigurationParams.frameStep,cy.get('#frameStep').type(advancedConfigurationParams.frameStep),advancedConfigurationParams.frameStep,variable_input,literal_input,technical_or_control_input,technical_or_configuration_or_control_input,opaque,ui_text_entry,frame Step,unknown,#frameStep,member_expression,,ast_regex_mismatch:source_class,ast_object_literal,object_literal_member,advancedConfigurationParams = { ... },,,cvat/tests/cypress/support/const.js,23,n/a,Reviewed review-queue row; use primary source_plausibility_audit_sample for correctness metrics.
midas-research/audino,9eaaa2c4117b1d6ae1a586ac6c437ce1,Cypress,842,input:type:advancedConfigurationParams.chunkSize,cy.get('#dataChunkSize').type(advancedConfigurationParams.chunkSize),advancedConfigurationParams.chunkSize,variable_input,literal_input,technical_or_control_input,technical_or_configuration_or_control_input,opaque,ui_text_entry,data Chunk Size,unknown,#dataChunkSize,member_expression,,ast_regex_mismatch:source_class,ast_object_literal,object_literal_member,advancedConfigurationParams = { ... },,,cvat/tests/cypress/support/const.js,23,n/a,Reviewed review-queue row; use primary source_plausibility_audit_sample for correctness metrics.
ONEARMY/community-platform,2c00a1a12ed0607baec93e7969d51922,Cypress,116,input:type:website,cy.get('[data-cy=website').clear().type(website),website,variable_input,literal_input,not_observable,indeterminate_or_insufficient_evidence,opaque,ui_text_entry,[data cy=website,unknown,[data-cy=website,identifier,,ast_regex_mismatch:source_class,ast_value_argument,,,,,,,n/a,Reviewed review-queue row; use primary source_plausibility_audit_sample for correctness metrics.
refactoringhq/tolaria,84ec43d9cc2fdaf98be95bddcf13ebfd,Playwright,67,input:press:Tab,page.keyboard.press('Tab'),Tab,literal_input,variable_input,technical_or_control_input,technical_or_configuration_or_control_input,visible,keyboard_entry,,keyboard_control_target,,string_literal,,ast_regex_mismatch:source_class,ast_value_argument,,,,,,,n/a,Reviewed review-queue row; use primary source_plausibility_audit_sample for correctness metrics.
pierrecomputer/pierre,2a3e6002c9f1bbc956f86103495eabca,Playwright,260,input:press:ArrowDown,page.keyboard.press('ArrowDown'),ArrowDown,literal_input,variable_input,technical_or_control_input,technical_or_configuration_or_control_input,visible,keyboard_entry,,keyboard_control_target,,string_literal,,ast_regex_mismatch:source_class,ast_value_argument,,,,,,,n/a,Reviewed review-queue row; use primary source_plausibility_audit_sample for correctness metrics.
