repo,test_id,framework,line,name,raw_code,abstraction_kind,interaction_ownership,reuse_scope,workflow_evidence_basis,manual_abstraction_kind_ok,manual_abstraction_kind_should_be,manual_workflow_evidence_ok,manual_workflow_evidence_should_be,manual_notes,event_snippet,snippet_truncated,file_path,enclosing_function_or_helper_snippet,test_body_context_snippet
appsmithorg/appsmith,9eb09a8e89ca5fa446f075729f1ed4a1,Cypress,434,PageLeftPane.assertAbsence,"PageLeftPane.assertAbsence(""Child_Page Copy"")",page_object,page_object_method,page_object_library,ast_page_symbol_origin,correct,n/a,correct,n/a,Workflow abstraction/evidence is acceptable.,"PageLeftPane.assertAbsence(""Child_Page Copy"")",false,,,
cloudtogo/pageplug,d220af6f12e8bc52cae2ddaf48a956ba,Cypress,874,cy.NavigateToPaginationTab,cy.NavigateToPaginationTab(),domain_helper,helper_expanded,file_local_helper,ast_no_cypress_setup_or_ui_call,correct,n/a,correct,n/a,Workflow abstraction/evidence is acceptable.,cy.NavigateToPaginationTab(),false,,,
mattermost/mattermost,96da78ced4e670aeb6bd2f5eb1ebcf90,Cypress,15,cy.get,cy.get('#group_profile'),domain_helper,helper_expanded,file_local_helper,ast_cypress_wait_chain,correct,n/a,correct,n/a,Workflow abstraction/evidence is acceptable.,cy.get('#group_profile'),false,,,
mattermost/mattermost,c5dde010b8df18e9909c7b9142685f3d,Cypress,434,cy.apiSaveSkipStepsPreference,"cy.apiSaveSkipStepsPreference(createdUser.id, 'true')",domain_helper,custom_command_body,file_local_helper,regex_fallback,correct,n/a,correct,n/a,Workflow abstraction/evidence is acceptable.,"cy.apiSaveSkipStepsPreference(createdUser.id, 'true')",false,,,
appsmithorg/appsmith,f35dc6632f73c3619586215f011173ae,Cypress,18,_.homePage.InviteUserToWorkspaceErrorMessage,"_.homePage.InviteUserToWorkspaceErrorMessage(workspaceId, ""abcdef"")",domain_helper,direct_in_test,unknown,feature_type,correct,n/a,correct,n/a,Workflow abstraction/evidence is acceptable.,"_.homePage.InviteUserToWorkspaceErrorMessage(workspaceId, ""abcdef"")",false,,,
surveyjs/survey-library,1add1cfa8c225712ff5ee9581b036d78,Playwright,120,page.evaluate,"page.evaluate(() => {
      const self: any = window;
      // eslint-disable-next-line surveyjs/eslint-plugin-i18n/allowed-in-shadow-dom
      const surveyElement: HTMLElement = document.getElementById(""surveyElement"") as HTMLElement;
      surveyElement.innerHTML = """";

      const shadowRoot = surveyElement.attachShadow({ mode: ""open"" });
      const rootElement = document.createElement(...",domain_helper,helper_expanded,file_local_helper,source_kind,correct,n/a,correct,n/a,Workflow abstraction/evidence is acceptable.,"page.evaluate(() => {
      const self: any = window;
      // eslint-disable-next-line surveyjs/eslint-plugin-i18n/allowed-in-shadow-dom
      const surveyElement: HTMLElement = document.getElementById(""surveyElement"") as HTMLElement;
      surveyElement.innerHTML = """";

      const shadowRoot = surveyElement.attachShadow({ mode: ""open"" });
      const rootElement = document.createElement(...",false,,,
ONEARMY/community-platform,2a294ba4d5e642bcef485b7bf4b04aff,Cypress,48,cy.step,cy.step('Verify page changed'),domain_helper,helper_expanded,file_local_helper,ast_no_cypress_setup_or_ui_call,correct,n/a,correct,n/a,Workflow abstraction/evidence is acceptable.,cy.step('Verify page changed'),false,,,
mattermost/mattermost,087de6bb2f88ccb31c985b34a5737c9d,Cypress,516,cy.apiSaveUserPreference,"cy.apiSaveUserPreference(preferences, userId)",domain_helper,custom_command_body,file_local_helper,regex_fallback,correct,n/a,correct,n/a,Workflow abstraction/evidence is acceptable.,"cy.apiSaveUserPreference(preferences, userId)",false,,,
jetkvm/kvm,73431005e1179a096ee513cad0b74225,Playwright,97,sendKeypress,"sendKeypress(page, keyCode, false)",domain_helper,helper_expanded,file_local_helper,ast_local_imported_helper,correct,n/a,correct,n/a,Workflow abstraction/evidence is acceptable.,"sendKeypress(page, keyCode, false)",false,,,
cloudtogo/pageplug,f2d139d78edbf5bfa5453fcbb723dd98,Cypress,417,cy.EnableAllCodeEditors,cy.EnableAllCodeEditors(),domain_helper,helper_expanded,file_local_helper,ast_cypress_locator_query_call,correct,n/a,correct,n/a,Workflow abstraction/evidence is acceptable.,cy.EnableAllCodeEditors(),false,,,
epicweb-dev/epic-stack,ad29897276bfc1ca55d8df448b2bb359,Playwright,252,prepareGitHubUser,prepareGitHubUser(),playwright_fixture,fixture_callback,playwright_fixture_scope,ast_playwright_fixture_param,correct,n/a,correct,n/a,Workflow abstraction/evidence is acceptable.,prepareGitHubUser(),false,,,
mattermost/mattermost,190d5a8de745ab1c7b67e84612508069,Cypress,62,cy.uiCloseRHS,cy.uiCloseRHS(),domain_helper,helper_expanded,file_local_helper,ast_cypress_locator_query_call,correct,n/a,correct,n/a,Workflow abstraction/evidence is acceptable.,cy.uiCloseRHS(),false,,,
nrwl/nx-examples,833f19f94edceabd0b95df4423321b39,Cypress,23,getPage,getPage(),page_object,page_object_method,page_object_library,callee_name_heuristic,correct,n/a,correct,n/a,Workflow abstraction/evidence is acceptable.,getPage(),false,,,
mattermost/mattermost,4c32669af528d6388745c87b5b57b055,Cypress,100,cy.apiLogin,"cy.apiLogin(admin, requestOptions)",hook_setup_flow,custom_command_body,file_local_helper,ast_cypress_data_call,correct,n/a,correct,n/a,Workflow abstraction/evidence is acceptable.,"cy.apiLogin(admin, requestOptions)",false,,,
mattermost/mattermost,f9815cf2067a6294d8ba4fe05d12bdf1,Cypress,116,sysadminSetup,sysadminSetup(response.user),domain_helper,helper_expanded,file_local_helper,ast_helper_name_heuristic,correct,n/a,correct,n/a,Workflow abstraction/evidence is acceptable.,sysadminSetup(response.user),false,,,
nrwl/nx-examples,299a34f9dbdbc9224846b4d7cb06a1ca,Cypress,17,getPage,getPage(),page_object,page_object_method,page_object_library,callee_name_heuristic,correct,n/a,correct,n/a,Workflow abstraction/evidence is acceptable.,getPage(),false,,,
cloudtogo/pageplug,f1b39ce75631fc96df56809da0d96742,Cypress,20,PageLeftPane.switchSegment,PageLeftPane.switchSegment(PagePaneSegment.JS),page_object,page_object_method,page_object_library,ast_page_symbol_origin,correct,n/a,correct,n/a,Workflow abstraction/evidence is acceptable.,PageLeftPane.switchSegment(PagePaneSegment.JS),false,,,
seerr-team/seerr,18f46ea9de6db322b63c1d694f0f5ca8,Cypress,29,cy.login,"cy.login(Cypress.env('ADMIN_EMAIL'), Cypress.env('ADMIN_PASSWORD'))",hook_setup_flow,custom_command_body,framework_extension,ast_cypress_session_call,correct,n/a,correct,n/a,Workflow abstraction/evidence is acceptable.,"cy.login(Cypress.env('ADMIN_EMAIL'), Cypress.env('ADMIN_PASSWORD'))",false,,,
mattermost/mattermost,4080bdeb101581f32c15c41e2257a22c,Cypress,116,sysadminSetup,sysadminSetup(response.user),domain_helper,helper_expanded,file_local_helper,ast_helper_name_heuristic,correct,n/a,correct,n/a,Workflow abstraction/evidence is acceptable.,sysadminSetup(response.user),false,,,
eigenpal/docx-editor,a3b535beda92395b1c703355ce5e2740,Playwright,126,page.evaluate,"page.evaluate((text) => {
    // Search only in editor content area
    const contentArea =
      document.querySelector('.ProseMirror') ||
      document.querySelector('.docx-editor-pages') ||
      document.querySelector('.docx-ai-editor');
    if (!contentArea) return false;

    const walker = document.createTreeWalker(contentArea, NodeFilter.SHOW_TEXT, null);

    let node: Text | n...",page_object,page_object_method,page_object_library,source_kind,correct,n/a,correct,n/a,Workflow abstraction/evidence is acceptable.,"page.evaluate((text) => {
    // Search only in editor content area
    const contentArea =
      document.querySelector('.ProseMirror') ||
      document.querySelector('.docx-editor-pages') ||
      document.querySelector('.docx-ai-editor');
    if (!contentArea) return false;

    const walker = document.createTreeWalker(contentArea, NodeFilter.SHOW_TEXT, null);

    let node: Text | n...",false,,,
epicweb-dev/epic-stack,0749d0adb57a7b62ae839957b0dca977,Playwright,202,prepareGitHubUser,prepareGitHubUser(),playwright_fixture,fixture_callback,playwright_fixture_scope,ast_playwright_fixture_param,correct,n/a,correct,n/a,Workflow abstraction/evidence is acceptable.,prepareGitHubUser(),false,,,
VOICEVOX/voicevox,4c0584ca7cc7cb21667a144102f10a33,Playwright,64,test.step,"test.step(""ソング画面に移動"", async () => {
    await navigateToMain(page);
    await expect(page.getByText(""ソング"")).toBeVisible();
    await page.getByText(""ソング"").click();

    // 見やすいようにスナップを1/8に変更
    await page.getByLabel(""スナップ"").click();
    await page.getByRole(""option"", { name: ""1/8"", exact: true }).click();
  })",playwright_test_step,helper_expanded,unknown,feature_type,correct,n/a,correct,n/a,Workflow abstraction/evidence is acceptable.,"test.step(""ソング画面に移動"", async () => {
    await navigateToMain(page);
    await expect(page.getByText(""ソング"")).toBeVisible();
    await page.getByText(""ソング"").click();

    // 見やすいようにスナップを1/8に変更
    await page.getByLabel(""スナップ"").click();
    await page.getByRole(""option"", { name: ""1/8"", exact: true }).click();
  })",false,,,
surveyjs/survey-library,afdfb46f4e4ab1e7d7db3ee55486c0ae,Playwright,82,page.evaluate,"page.evaluate(([json, isDesignMode, props]) => {
    // eslint-disable-next-line no-console
    console.error = (msg) => {
      throw new Error(msg);
    };
    // eslint-disable-next-line no-console
    console.warn = (msg) => {
      throw new Error(msg);
    };
    // eslint-disable-next-line no-console
    console.log(""surveyjs console.error and console.warn override"");

    (wind...",domain_helper,helper_expanded,file_local_helper,source_kind,correct,n/a,correct,n/a,Workflow abstraction/evidence is acceptable.,"page.evaluate(([json, isDesignMode, props]) => {
    // eslint-disable-next-line no-console
    console.error = (msg) => {
      throw new Error(msg);
    };
    // eslint-disable-next-line no-console
    console.warn = (msg) => {
      throw new Error(msg);
    };
    // eslint-disable-next-line no-console
    console.log(""surveyjs console.error and console.warn override"");

    (wind...",false,,,
ohcnetwork/care_fe,c8a5465deb922bdc1cb552ab2be9d616,Playwright,34,test.step,"test.step(""Open prescription form"", async () => {
      await page.getByRole(""link"", { name: /Create/i }).click();
      await expect(
        page.getByText(/Add Medication|Add another Medication/i),
      ).toBeVisible();
    })",playwright_test_step,direct_in_test,unknown,feature_type,correct,n/a,correct,n/a,Workflow abstraction/evidence is acceptable.,"test.step(""Open prescription form"", async () => {
      await page.getByRole(""link"", { name: /Create/i }).click();
      await expect(
        page.getByText(/Add Medication|Add another Medication/i),
      ).toBeVisible();
    })",false,,,
cloudtogo/pageplug,0f0b848f01478864b4772bfb552b8dc4,Cypress,1545,cy.get(`[data-header=${columnName}] .header-menu .bp3-popover2-target`).click,"cy.get(`[data-header=${columnName}] .header-menu .bp3-popover2-target`).click(
    { force: true },
  )",cypress_custom_command,custom_command_body,framework_extension,ast_cypress_ui_action_chain,correct,n/a,correct,n/a,Workflow abstraction/evidence is acceptable.,"cy.get(`[data-header=${columnName}] .header-menu .bp3-popover2-target`).click(
    { force: true },
  )",false,,,
appsmithorg/appsmith,de5f1b59480428e09838a90aa8ba0daa,Cypress,962,cy.get,cy.get(welcomePage.continueButton),cypress_custom_command,custom_command_body,framework_extension,ast_cypress_custom_command_call,correct,n/a,correct,n/a,Workflow abstraction/evidence is acceptable.,cy.get(welcomePage.continueButton),false,,,
eigenpal/docx-editor,1548fc2f8c41f298efe53128cbea839d,Playwright,15,page.evaluate,"page.evaluate((text) => {
    // Search only in editor content area, not toolbar (which has icon text like ""format_bold"")
    const contentArea =
      document.querySelector('.ProseMirror') ||
      document.querySelector('.docx-editor-pages') ||
      document.querySelector('.docx-ai-editor');
    if (!contentArea) return false;

    const walker = document.createTreeWalker(contentArea, ...",page_object,page_object_method,page_object_library,source_kind,correct,n/a,correct,n/a,Workflow abstraction/evidence is acceptable.,"page.evaluate((text) => {
    // Search only in editor content area, not toolbar (which has icon text like ""format_bold"")
    const contentArea =
      document.querySelector('.ProseMirror') ||
      document.querySelector('.docx-editor-pages') ||
      document.querySelector('.docx-ai-editor');
    if (!contentArea) return false;

    const walker = document.createTreeWalker(contentArea, ...",false,,,
epicweb-dev/epic-stack,a307cd62ded23598eeb63f536907bc51,Playwright,356,insertNewUser,insertNewUser({ password: originalPassword }),playwright_fixture,fixture_callback,playwright_fixture_scope,ast_playwright_fixture_param,correct,n/a,correct,n/a,Workflow abstraction/evidence is acceptable.,insertNewUser({ password: originalPassword }),false,,,
redpanda-data/console,ff839a2795ddae7413ee380f70049449,Playwright,17,test.step,"test.step('Verify message in messages tab', async () => {
      await page.goto(`/topics/${topicName}`);
      await expect(page.getByText(messageContent)).toBeVisible();
    })",playwright_test_step,direct_in_test,unknown,feature_type,correct,n/a,correct,n/a,Workflow abstraction/evidence is acceptable.,"test.step('Verify message in messages tab', async () => {
      await page.goto(`/topics/${topicName}`);
      await expect(page.getByText(messageContent)).toBeVisible();
    })",false,,,
getpaseo/paseo,e33b1ece33fce048eed8ef9fba400a84,Playwright,103,page.getByRole,"page.getByRole(""button"", { name: removeAccessibilityLabel })",domain_helper,helper_expanded,file_local_helper,source_kind,correct,n/a,correct,n/a,Workflow abstraction/evidence is acceptable.,"page.getByRole(""button"", { name: removeAccessibilityLabel })",false,,,
appsmithorg/appsmith,1c0ef0849bf56fb03c6f63ccdfd51482,Cypress,45,cy.getTableV2DataSelector,"cy.getTableV2DataSelector(""1"", ""3"")",domain_helper,helper_expanded,file_local_helper,ast_no_cypress_setup_or_ui_call,correct,n/a,correct,n/a,Workflow abstraction/evidence is acceptable.,"cy.getTableV2DataSelector(""1"", ""3"")",false,,,
OpenRailAssociation/osrd,e90018bcafa8dee07fde8450b7d76a4b,Playwright,212,test.step,"test.step('Launch simulation and verify outputs', async () => {
      await stdcmPage.verifyValidSimulationLaunch(
        STDCM_TRANSLATIONS.simulation.results.status.completed
      );
      await stdcmSimulationResultPage.verifyTableData(POSTERIOR_LINKED_TRAIN_TABLE_DATA_PATH);
    })",playwright_test_step,direct_in_test,unknown,feature_type,correct,n/a,correct,n/a,Workflow abstraction/evidence is acceptable.,"test.step('Launch simulation and verify outputs', async () => {
      await stdcmPage.verifyValidSimulationLaunch(
        STDCM_TRANSLATIONS.simulation.results.status.completed
      );
      await stdcmSimulationResultPage.verifyTableData(POSTERIOR_LINKED_TRAIN_TABLE_DATA_PATH);
    })",false,,,
UI5/webcomponents,9be733a93f273b159499deba617bec61,Cypress,130,"cy.stub(internals, ""windows"").value","cy.stub(internals, ""windows"").value(false)",cypress_custom_command,custom_command_body,framework_extension,feature_type,correct,n/a,correct,n/a,Workflow abstraction/evidence is acceptable.,"cy.stub(internals, ""windows"").value(false)",false,,,
epicweb-dev/epic-stack,e75b4cc7b0f0e09bdf58cb969371363d,Playwright,413,insertNewUser,insertNewUser(),playwright_fixture,fixture_callback,playwright_fixture_scope,ast_playwright_fixture_param,correct,n/a,correct,n/a,Workflow abstraction/evidence is acceptable.,insertNewUser(),false,,,
ONEARMY/community-platform,9aebabf8f4cd2babd50033ea49010688,Cypress,17,cy.step,cy.step('Reset Password requires email'),domain_helper,helper_expanded,file_local_helper,ast_no_cypress_setup_or_ui_call,correct,n/a,correct,n/a,Workflow abstraction/evidence is acceptable.,cy.step('Reset Password requires email'),false,,,
