rq,framework,api_pattern,receiver_or_namespace,emitted_feature_type,mapped_category,category_definition,scope_or_gate,implementation_source,notes
RQ4,Playwright,page.goto,page,ui_action,navigation,Explicit page or route navigation,Counted as user action in sequence metrics when emitted as UI action,05-implementation/test-feature-extraction/lib/phase2b/actionSignatureExtractor.js,This row covers navigation APIs; locator and synchronization APIs are represented in their own study measures
RQ4,Playwright,locator.click; page.click; element.click,page; locator; element,ui_action,click,Pointer activation of a visible element,Requires locator/page/element UI receiver and not assertion chain,05-implementation/test-feature-extraction/lib/phase2b/directFeatureExtractor.js,Includes dblclick and tap in same category
RQ4,Playwright,locator.fill; page.fill; locator.type; page.type; locator.clear,page; locator,ui_action,text_input,Typing or changing text in an editable field,Requires UI receiver and text-entry method,05-implementation/test-feature-extraction/lib/phase2b/actionSignatureExtractor.js; 05-implementation/test-feature-extraction/lib/phase2b/directFeatureExtractor.js,Special key-only values may be categorized as keyboard_input
RQ4,Playwright,keyboard.press; locator.press; page.keyboard.*,keyboard; locator; page,ui_action,keyboard_input,Keyboard command or key sequence,Requires key-oriented method or key-command value,05-implementation/test-feature-extraction/lib/phase2b/actionSignatureExtractor.js; 05-implementation/rq-aggregation/input_classify.py,Distinguished from ordinary text entry by method/value semantics
RQ4,Playwright,locator.check; locator.uncheck; locator.selectOption,locator,ui_action,selection,Visible option checkbox or radio selection,Requires selection/control method,05-implementation/test-feature-extraction/lib/phase2b/actionSignatureExtractor.js,check/uncheck can also be grouped with click in raw action category
RQ4,Playwright,locator.hover; page.hover,locator; page,ui_action,hover,Hover or pointer-over interaction,Requires UI receiver,05-implementation/test-feature-extraction/lib/phase2b/actionSignatureExtractor.js,
RQ4,Playwright,locator.dragTo; page.mouse down/move/up,locator; page.mouse,ui_action,drag_drop,Drag or drop interaction,Requires drag API or detected mouse drag sequence,05-implementation/test-feature-extraction/lib/phase2b/directFeatureExtractor.js,Mouse down/move/up is collapsed to page.mouse.drag
RQ4,Playwright,locator.setInputFiles; page.setInputFiles,locator; page,ui_action,file_upload,File upload through file input,Requires upload value argument,05-implementation/test-feature-extraction/lib/phase2b/actionSignatureExtractor.js; 05-implementation/test-feature-extraction/lib/phase2b/inputPatternExtractor.js,
RQ4,Playwright,scroll; scrollTo; scrollBy; scrollIntoView; evaluate scroll mutation,page; locator; DOM,ui_action,scroll,Scrolling interaction,Requires scroll method or detected scroll mutation inside evaluate,05-implementation/test-feature-extraction/lib/phase2b/directFeatureExtractor.js,
RQ4,Cypress,cy.visit,cy,ui_action,navigation,Explicit page or route navigation,Counted as user action in sequence metrics when emitted as UI action,05-implementation/test-feature-extraction/lib/shared/patterns.js; 05-implementation/test-feature-extraction/lib/phase2b/actionSignatureExtractor.js,This row covers navigation APIs; locator and synchronization APIs are represented in their own study measures
RQ4,Cypress,cy.click; .click; cy.realClick,cy; subject chain,ui_action,click,Pointer activation of a visible element,Requires Cypress direct UI or real-events method,05-implementation/test-feature-extraction/lib/shared/patterns.js; 05-implementation/test-feature-extraction/lib/phase2b/directFeatureExtractor.js,
RQ4,Cypress,cy.type; .type; cy.clear; cy.realType,cy; subject chain,ui_action,text_input,Typing or changing text in an editable field,Requires text-entry method and non-assertion value,05-implementation/test-feature-extraction/lib/shared/patterns.js; 05-implementation/test-feature-extraction/lib/phase2b/directFeatureExtractor.js,Assertion matcher strings are represented by RQ5 oracle mappings
RQ4,Cypress,cy.realPress; cy.type key command values,cy; subject chain,ui_action,keyboard_input,Keyboard command or key sequence,Requires key-oriented command or special key sequence,05-implementation/test-feature-extraction/lib/shared/patterns.js; 05-implementation/rq-aggregation/input_classify.py,Examples include enter tab selectall and modifier combinations
RQ4,Cypress,cy.select; cy.check; cy.uncheck,cy; subject chain,ui_action,selection,Visible option checkbox or radio selection,Requires selection/control method,05-implementation/test-feature-extraction/lib/shared/patterns.js; 05-implementation/test-feature-extraction/lib/phase2b/actionSignatureExtractor.js,
RQ4,Cypress,cy.realHover; .trigger mouseover,cy; subject chain,ui_action,hover,Hover or pointer-over interaction,Requires real hover or event trigger recognized as UI action,05-implementation/test-feature-extraction/lib/shared/patterns.js; 05-implementation/test-feature-extraction/lib/phase2b/directFeatureExtractor.js,
RQ4,Cypress,drag/drop custom or trigger sequence,cy; subject chain,ui_action,drag_drop,Drag or drop interaction,Requires drag/drop terminal or expanded custom command evidence,05-implementation/test-feature-extraction/lib/phase2c/customCommandRegistry.js; 05-implementation/rq-aggregation/classify.py,
RQ4,Cypress,attachFile; selectFile; setInputFiles,cy; subject chain,ui_action,file_upload,File upload through file input,Requires upload command or plugin command evidence,05-implementation/test-feature-extraction/lib/shared/patterns.js; 05-implementation/test-feature-extraction/lib/phase2b/inputPatternExtractor.js,
RQ4,Cypress,cy.scrollTo; scrollIntoView,cy; subject chain,ui_action,scroll,Scrolling interaction,Requires scroll command evidence,05-implementation/test-feature-extraction/lib/shared/patterns.js; 05-implementation/rq-aggregation/classify.py,
RQ4,Puppeteer,page.goto,page,ui_action,navigation,Explicit page or route navigation,Counted as user action in sequence metrics when emitted as UI action,05-implementation/test-feature-extraction/lib/shared/patterns.js; 05-implementation/test-feature-extraction/lib/phase2b/actionSignatureExtractor.js,
RQ4,Puppeteer,page.click,page,ui_action,click,Pointer activation of a visible element,Requires page UI action method,05-implementation/test-feature-extraction/lib/shared/patterns.js,
RQ4,Puppeteer,page.type,page,ui_action,text_input,Typing or changing text in an editable field,Requires text-entry method,05-implementation/test-feature-extraction/lib/shared/patterns.js,
RQ4,Puppeteer,page.keyboard.*; page.press,page.keyboard; page,ui_action,keyboard_input,Keyboard command or key sequence,Requires keyboard receiver or press method,05-implementation/test-feature-extraction/lib/shared/patterns.js; 05-implementation/test-feature-extraction/lib/phase2b/actionSignatureExtractor.js,
RQ4,Puppeteer,page.select,page,ui_action,selection,Visible option selection,Requires select method,05-implementation/test-feature-extraction/lib/shared/patterns.js,
RQ4,Puppeteer,page.hover,page,ui_action,hover,Hover or pointer-over interaction,Requires hover method,05-implementation/test-feature-extraction/lib/shared/patterns.js,
RQ4,Puppeteer,page.mouse drag sequence,page.mouse,ui_action,drag_drop,Drag or drop interaction,Requires drag-like mouse sequence or drag helper evidence,05-implementation/rq-aggregation/classify.py,
RQ4,Puppeteer,page.setInputFiles; file chooser upload,page,ui_action,file_upload,File upload through file input,Requires upload evidence,05-implementation/rq-aggregation/classify.py,
