rq,framework,api_pattern,receiver_or_namespace,emitted_feature_type,mapped_category,category_definition,scope_or_gate,implementation_source,notes
RQ5,Playwright,expect(locator).toBeVisible/toBeHidden/toBeAttached/toBeInViewport,expect,assertion,element_presence,Oracle for visible hidden attached or present elements,Requires assertion expression or Playwright matcher chain,05-implementation/test-feature-extraction/lib/phase2b/assertionChainExtractor.js; 05-implementation/rq-aggregation/assertion_semantics.py,
RQ5,Playwright,expect(locator).toHaveText/toContainText; expect(page).toHaveTitle,expect,assertion,content_correctness,Oracle for user-facing text content,Requires semantic matcher or subject-context evidence,05-implementation/test-feature-extraction/lib/phase2b/assertionChainExtractor.js; 05-implementation/rq-aggregation/assertion_semantics.py,
RQ5,Playwright,expect(page).toHaveURL,expect,assertion,navigation_outcome,Oracle for navigation location or URL outcome,Requires URL/page subject evidence,05-implementation/test-feature-extraction/lib/phase2b/assertionChainExtractor.js; 05-implementation/rq-aggregation/assertion_semantics.py,
RQ5,Playwright,expect(locator).toBeEnabled/toBeDisabled/toBeChecked/toBeEditable/toBeFocused,expect,assertion,interactive_state,Oracle for enabled disabled checked focus editable or event state,Requires semantic matcher or UI-control subject evidence,05-implementation/test-feature-extraction/lib/phase2b/assertionChainExtractor.js; 05-implementation/rq-aggregation/assertion_semantics.py,
RQ5,Playwright,expect(locator).toHaveCount; length/count matchers,expect,assertion,collection_size,Oracle for collection cardinality,Requires count length or collection subject evidence,05-implementation/test-feature-extraction/lib/phase2b/assertionChainExtractor.js; 05-implementation/rq-aggregation/assertion_semantics.py,
RQ5,Playwright,expect(locator).toHaveValue/toHaveAttribute/toHaveProperty/toHaveJSProperty/toHaveId,expect,assertion,value_or_attribute_correctness,Oracle for scalar value property or attribute correctness,Requires value attribute property or scalar matcher evidence,05-implementation/test-feature-extraction/lib/phase2b/assertionChainExtractor.js; 05-implementation/rq-aggregation/assertion_semantics.py,
RQ5,Playwright,expect(locator).toHaveCSS/toHaveClass,expect,assertion,style_or_visual_state,Oracle for CSS class layout or visual state,Requires style class CSS or layout evidence,05-implementation/test-feature-extraction/lib/phase2b/assertionChainExtractor.js; 05-implementation/rq-aggregation/assertion_semantics.py,
RQ5,Playwright,expect(page/locator).toHaveScreenshot; toMatchSnapshot; toMatchAriaSnapshot,expect,assertion,visual_regression,Oracle for screenshot or snapshot comparison,Requires screenshot snapshot or visual subject evidence,05-implementation/test-feature-extraction/lib/phase2b/assertionChainExtractor.js; 05-implementation/rq-aggregation/assertion_semantics.py,ARIA snapshots map to accessibility when accessibility evidence is stronger
RQ5,Playwright,expect(locator).toHaveAccessibleName/Description/Error/Role; toHaveNoViolations,expect,assertion,accessibility_compliance,Oracle for accessibility structure or compliance,Requires accessibility matcher or subject evidence,05-implementation/test-feature-extraction/lib/phase2b/assertionChainExtractor.js; 05-implementation/rq-aggregation/assertion_semantics.py,
RQ5,Playwright,expect(response/request/api).to*; expect(spy).toHaveBeenCalled*,expect,assertion,api_or_data_contract,Oracle for API data object contract or call contract,Requires API subject spy call or object-contract evidence,05-implementation/test-feature-extraction/lib/phase2b/assertionChainExtractor.js; 05-implementation/rq-aggregation/assertion_semantics.py,Network response subjects can map to network_contract
RQ5,Cypress,.should/.and visibility chainers,cy subject chain,assertion,element_presence,Oracle for visible hidden existing or present elements,Requires Cypress should/and assertion chain,05-implementation/test-feature-extraction/lib/phase2b/assertionChainExtractor.js; 05-implementation/rq-aggregation/assertion_semantics.py,
RQ5,Cypress,cy.contains standalone,cy,assertion,element_presence,Implicit existence oracle from standalone contains,Only standalone contains without following property action,05-implementation/test-feature-extraction/lib/phase2b/directFeatureExtractor.js,Recorded as implicit_oracle
RQ5,Cypress,.should/.and have.text contain.text include.text,cy subject chain,assertion,content_correctness,Oracle for user-facing text content,Requires text/content chainer or subject evidence,05-implementation/test-feature-extraction/lib/phase2b/assertionChainExtractor.js; 05-implementation/rq-aggregation/assertion_semantics.py,
RQ5,Cypress,cy.url/location/hash/title should; have.attr href,cy subject chain,assertion,navigation_outcome,Oracle for navigation location or URL outcome,Requires URL href or location evidence,05-implementation/rq-aggregation/classify.py; 05-implementation/rq-aggregation/assertion_semantics.py,
RQ5,Cypress,.should/.and be.enabled/be.disabled/be.checked/be.focused,cy subject chain,assertion,interactive_state,Oracle for enabled disabled checked selected or focus state,Requires UI-control state chainer,05-implementation/test-feature-extraction/lib/phase2b/assertionChainExtractor.js; 05-implementation/rq-aggregation/assertion_semantics.py,
RQ5,Cypress,.should/.and have.length/have.lengthOf,cy subject chain,assertion,collection_size,Oracle for collection cardinality,Requires length count or size evidence,05-implementation/test-feature-extraction/lib/phase2b/assertionChainExtractor.js; 05-implementation/rq-aggregation/assertion_semantics.py,
RQ5,Cypress,.should/.and have.value/have.attr/have.prop; eq/equal/eql,cy subject chain,assertion,value_or_attribute_correctness,Oracle for scalar value property or attribute correctness,Requires value attribute property scalar or equality evidence,05-implementation/test-feature-extraction/lib/phase2b/assertionChainExtractor.js; 05-implementation/rq-aggregation/assertion_semantics.py,
RQ5,Cypress,.should/.and have.css/have.class,cy subject chain,assertion,style_or_visual_state,Oracle for CSS class layout or visual state,Requires CSS class or style evidence,05-implementation/test-feature-extraction/lib/phase2b/assertionChainExtractor.js; 05-implementation/rq-aggregation/assertion_semantics.py,
RQ5,Cypress,cy.wait('@alias').its('response...').should,cy subject chain,assertion,network_contract,Oracle for network request or response contract,Requires network alias response request or status evidence,05-implementation/rq-aggregation/assertion_semantics.py,
RQ5,Cypress,expect/assert/Chai inside Cypress test,expect; assert,assertion,value_or_attribute_correctness,Generic scalar or object assertion inside Cypress test,Intent refined by matcher and subject evidence,05-implementation/test-feature-extraction/lib/phase2b/assertionChainExtractor.js; 05-implementation/rq-aggregation/assertion_semantics.py,Can map to any RQ5 intent if subject evidence is stronger
RQ5,Puppeteer,expect/assert around page or element state,expect; assert,assertion,element_presence,Oracle around page DOM or element state,Intent inferred from matcher and subject evidence,05-implementation/rq-aggregation/classify.py; 05-implementation/rq-aggregation/assertion_semantics.py,No Puppeteer-specific expect namespace is required
RQ5,Puppeteer,screenshot/snapshot helper or matcher,helper; expect,assertion,visual_regression,Oracle for screenshot or snapshot comparison,Requires screenshot snapshot or helper oracle evidence,05-implementation/test-feature-extraction/lib/phase2b/directFeatureExtractor.js; 05-implementation/rq-aggregation/assertion_semantics.py,
RQ5,TestCafe,t.expect(...).ok/notOk,t.expect,assertion,element_presence,Oracle for existence or truthy presence,Requires TestCafe expect chain,05-implementation/test-feature-extraction/lib/phase2b/assertionChainExtractor.js; 05-implementation/rq-aggregation/assertion_semantics.py,
RQ5,TestCafe,t.expect(...).eql/notEql/contains/notContains,t.expect,assertion,value_or_attribute_correctness,Oracle for scalar value equality or containment,Intent refined by matcher and subject evidence,05-implementation/test-feature-extraction/lib/phase2b/assertionChainExtractor.js; 05-implementation/rq-aggregation/assertion_semantics.py,Content subject can map to content_correctness
RQ5,TestCafe,Selector.exists with ok/notOk,t.expect,assertion,element_presence,Oracle for selector existence,Requires Selector existence expression,05-implementation/rq-aggregation/classify.py; 05-implementation/rq-aggregation/assertion_semantics.py,
RQ5,WebDriverIO,expect(element).toBeDisplayed/toBeExisting,expect,assertion,element_presence,Oracle for visible or existing elements,Requires WebDriverIO matcher syntax,05-implementation/test-feature-extraction/lib/phase2b/assertionChainExtractor.js; 05-implementation/rq-aggregation/assertion_semantics.py,
RQ5,WebDriverIO,expect(element).toBeClickable/toBeEnabled/toBeDisabled/toBeFocused/toBeSelected/toBeChecked,expect,assertion,interactive_state,Oracle for interactive element state,Requires WebDriverIO matcher syntax,05-implementation/test-feature-extraction/lib/phase2b/assertionChainExtractor.js; 05-implementation/rq-aggregation/assertion_semantics.py,
RQ5,WebDriverIO,expect(element).toHaveText,expect,assertion,content_correctness,Oracle for user-facing text content,Requires WebDriverIO text matcher,05-implementation/test-feature-extraction/lib/phase2b/assertionChainExtractor.js; 05-implementation/rq-aggregation/assertion_semantics.py,
RQ5,WebDriverIO,expect(element).toHaveValue/toHaveAttr,expect,assertion,value_or_attribute_correctness,Oracle for value or attribute correctness,Requires WebDriverIO value or attribute matcher,05-implementation/test-feature-extraction/lib/phase2b/assertionChainExtractor.js; 05-implementation/rq-aggregation/assertion_semantics.py,
