sample_origin,repo,test_id,framework,line,name,raw_code,assertion_chain_index,assertion_chain_length,chain_matcher_sequence_json,assertion_matcher,assertion_semantic_matcher_ast,assertion_subject_kind,assertion_subject_root_ast,assertion_subject_path_json,assertion_subject_text_ast,assertion_subject_semantic_role_ast,assertion_callback_intent_hint_ast,is_negated_assertion,promise_modifier,is_soft_assertion,is_grouped_assertion,assertion_group_kind,assertion_chain_raw_code,assertion_framework_context,assertion_library_syntax,verification_intent,verification_intent_final,verification_intent_evidence_basis,verification_intent_matched_signal,manual_chain_ok,manual_matcher_ok,manual_notes
,midas-research/audino,f8ffa63fc91404563239adcab29750b1,Cypress,415,cy.get('.cvat-canvas-container').should,cy.get('.cvat-canvas-container').should('exist'),0,2,"[""should:exist"", ""and:be.visible""]",should,exist,locator,cy,"[""cy"",""get"",""should"",""and""]",cy.get('.cvat-canvas-container').should('exist').and('be.visible'),scalar_property,,0,,0,0,none,cy.get('.cvat-canvas-container').should('exist').and('be.visible'),cypress,cypress,element_presence,element_presence,ast_assertion_semantic_matcher,matcher:exist;presence_over_weak_subject_role,correct,correct,Assertion chain grouping and matcher extraction match sampled evidence.
,midas-research/audino,f8ffa63fc91404563239adcab29750b1,Cypress,415,cy.get('.cvat-canvas-container').should('exist').and,cy.get('.cvat-canvas-container').should('exist').and('be.visible'),1,2,"[""should:exist"", ""and:be.visible""]",and,be.visible,locator,cy,"[""cy"",""get"",""should"",""and""]",cy.get('.cvat-canvas-container').should('exist').and('be.visible'),scalar_property,,0,,0,0,none,cy.get('.cvat-canvas-container').should('exist').and('be.visible'),cypress,cypress,element_presence,element_presence,ast_assertion_semantic_matcher,matcher:bevisible;presence_over_weak_subject_role,correct,correct,Assertion chain grouping and matcher extraction match sampled evidence.
,mattermost/mattermost,9e05a6340e684dc16874ffaf2fd5839e,Cypress,304,"expect(Enable, Enable ? '' : 'Should have cluster enabled').to.equal","expect(Enable, Enable ? '' : 'Should have cluster enabled').to.equal(true)",0,1,"[""equal""]",equal,,unknown,expect,"[""expect"",""to"",""equal""]","expect(Enable, Enable ? '' : 'Should have cluster enabled').to.equal(true)",ui_control_state,,0,,0,0,none,"expect(Enable, Enable ? '' : 'Should have cluster enabled').to.equal(true)",cypress,jest,interactive_state,interactive_state,ast_assertion_subject_semantic_role,subject_semantic_role:ui_control_state;matcher:equal,correct,correct,Assertion chain grouping and matcher extraction match sampled evidence.
,linode/manager,5e890997fb99221daaf13ceefdfd061f,Cypress,116,expect(noticeText).to.include,expect(noticeText).to.include(noticeMessage),0,1,"[""include""]",include,,unknown,expect,"[""expect"",""to"",""include""]",expect(noticeText).to.include(noticeMessage),text_content_payload,,0,,0,1,within,expect(noticeText).to.include(noticeMessage),cypress,jest,content_correctness,content_correctness,ast_assertion_subject_semantic_role,subject_semantic_role:text_content_payload;matcher:include,correct,correct,Assertion chain grouping and matcher extraction match sampled evidence.
,taiga-family/maskito,53f927a1a270a4c5dd34819736edc9ef,Cypress,305,"cy.get('input')
                    .should","cy.get('input')
                    .should('be.visible')",0,2,"[""should:be.visible"", ""should:have.value"", ""should:have.prop"", ""should:have.prop"", ""should:have.value"", ""should:have.prop"", ""should:have.prop""]",should,be.visible,locator,cy,"[""cy"",""get"",""should"",""should""]","cy.get('input')
                    .should('be.visible')
                    .should('have.value', '+1 212 343-3355')",scalar_property,,0,,0,0,none,"cy.get('input')
                    .should('be.visible')
                    .should('have.value', '+1 212 343-3355')",cypress,cypress,element_presence,element_presence,ast_assertion_semantic_matcher,matcher:bevisible;presence_over_weak_subject_role,correct,correct,Assertion chain grouping and matcher extraction match sampled evidence.
,taiga-family/maskito,53f927a1a270a4c5dd34819736edc9ef,Cypress,305,"cy.get('input')
                    .should('be.visible')
                    .should","cy.get('input')
                    .should('be.visible')
                    .should('have.value', '+1 212 343-3355')",1,2,"[""should:be.visible"", ""should:have.value"", ""should:have.prop"", ""should:have.prop"", ""should:have.value"", ""should:have.prop"", ""should:have.prop""]",should,have.value,locator,cy,"[""cy"",""get"",""should"",""should""]","cy.get('input')
                    .should('be.visible')
                    .should('have.value', '+1 212 343-3355')",scalar_property,,0,,0,0,none,"cy.get('input')
                    .should('be.visible')
                    .should('have.value', '+1 212 343-3355')",cypress,cypress,value_or_attribute_correctness,value_or_attribute_correctness,ast_assertion_semantic_matcher,matcher:havevalue;value_attribute_current_matcher,correct,correct,Assertion chain grouping and matcher extraction match sampled evidence.
,taiga-family/maskito,53f927a1a270a4c5dd34819736edc9ef,Cypress,305,"cy.get('input')
                    .should('be.visible')
                    .should('have.value', '+1 212 343-3355')
                    .focus()
                    .type('{moveToEnd}')
      ","cy.get('input')
                    .should('be.visible')
                    .should('have.value', '+1 212 343-3355')
                    .focus()
                    .type('{moveToEnd}')
                    .type('{leftArrow}'.repeat('43-3355'.length))
                    .should('have.prop', 'selectionStart', '+1 212 3'.length)",2,4,"[""should:be.visible"", ""should:have.value"", ""should:have.prop"", ""should:have.prop"", ""should:have.value"", ""should:have.prop"", ""should:have.prop""]",should,have.prop,locator,cy,"[""cy"",""get"",""should"",""should"",""focus"",""type"",""type"",""should"",""should""]","cy.get('input')
                    .should('be.visible')
                    .should('have.value', '+1 212 343-3355')
                    .focus()
                    .type('{moveToEnd}')
                    .type('{leftArrow}'.repeat('43-3355'.length))
                    .should('have.prop'",collection_size,,0,,0,0,none,"cy.get('input')
                    .should('be.visible')
                    .should('have.value', '+1 212 343-3355')
                    .focus()
                    .type('{moveToEnd}')
                    .type('{leftArrow}'.repeat('43-3355'.length))
                    .should('have.prop', 'selectionStart', '+1 212 3'.length)
                    .should('have.prop', 'selectionEnd', '+1 212 3'.length)",cypress,cypress,element_presence,element_presence,ast_assertion_semantic_matcher,matcher:haveprop;value_attribute_current_matcher,correct,correct,Assertion chain grouping and matcher extraction match sampled evidence.
,taiga-family/maskito,53f927a1a270a4c5dd34819736edc9ef,Cypress,305,"cy.get('input')
                    .should('be.visible')
                    .should('have.value', '+1 212 343-3355')
                    .focus()
                    .type('{moveToEnd}')
      ","cy.get('input')
                    .should('be.visible')
                    .should('have.value', '+1 212 343-3355')
                    .focus()
                    .type('{moveToEnd}')
                    .type('{leftArrow}'.repeat('43-3355'.length))
                    .should('have.prop', 'selectionStart', '+1 212 3'.length)
                    .should('have.prop', 'selectionEnd', '+1...",6,7,"[""should:be.visible"", ""should:have.value"", ""should:have.prop"", ""should:have.prop"", ""should:have.value"", ""should:have.prop"", ""should:have.prop""]",should,have.prop,locator,cy,"[""cy"",""get"",""should"",""should"",""focus"",""type"",""type"",""should"",""should"",""type"",""should"",""should"",""should""]","cy.get('input')
                    .should('be.visible')
                    .should('have.value', '+1 212 343-3355')
                    .focus()
                    .type('{moveToEnd}')
                    .type('{leftArrow}'.repeat('43-3355'.length))
                    .should('have.prop'",collection_size,,0,,0,0,none,"cy.get('input')
                    .should('be.visible')
                    .should('have.value', '+1 212 343-3355')
                    .focus()
                    .type('{moveToEnd}')
                    .type('{leftArrow}'.repeat('43-3355'.length))
                    .should('have.prop', 'selectionStart', '+1 212 3'.length)
                    .should('have.prop', 'selectionEnd', '+1 212 3'.length)
                    .type('{backspace}')
                    .should('have.value', '+1 212 433-355')
                    .should('have.prop', 'selectionStart', '+1 212 '.length)
                    .should('have.prop', 'selectionEnd', '+1 212 '.length)",cypress,cypress,element_presence,element_presence,ast_assertion_semantic_matcher,matcher:haveprop;value_attribute_current_matcher,correct,correct,Assertion chain grouping and matcher extraction match sampled evidence.
,UI5/webcomponents,a1fc5f366499dac3ad45d5030b88652b,Cypress,38,"cy.get(""@form"")
			.should","cy.get(""@form"")
			.should(""have.prop"", ""columnsS"", 1)",0,12,"[""should:have.prop"", ""and:have.prop"", ""and:have.prop"", ""and:have.prop"", ""and:have.prop"", ""and:have.prop"", ""and:have.prop"", ""and:have.prop"", ""and:have.prop"", ""and:have.prop"", ""and:have.prop"", ""and:have.prop""]",should,have.prop,locator,cy,"[""cy"",""get"",""should"",""and"",""and"",""and"",""and"",""and"",""and"",""and"",""and"",""and"",""and"",""and""]","cy.get(""@form"")
			.should(""have.prop"", ""columnsS"", 1)
			.and(""have.prop"", ""labelSpanS"", 12)
			.and(""have.prop"", ""emptySpanS"", 0)
			.and(""have.prop"", ""columnsM"", 1)
			.and(""have.prop"", ""labelSpanM"", 4)
			.and(""have.prop"", ""emptySpanM"", 0)
			.and(""have.prop"", ""columnsL"", 2)
			.and(""have.prop"",",scalar_property,,0,,0,1,within,"cy.get(""@form"")
			.should(""have.prop"", ""columnsS"", 1)
			.and(""have.prop"", ""labelSpanS"", 12)
			.and(""have.prop"", ""emptySpanS"", 0)
			.and(""have.prop"", ""columnsM"", 1)
			.and(""have.prop"", ""labelSpanM"", 4)
			.and(""have.prop"", ""emptySpanM"", 0)
			.and(""have.prop"", ""columnsL"", 2)
			.and(""have.prop"", ""labelSpanL"", 4)
			.and(""have.prop"", ""emptySpanL"", 0)
			.and(""have.prop"", ""columnsXl"", 3)
			.and(""have.prop"", ""emptySpanXl"", 0)
			.and(""have.prop"", ""labelSpanXl"", 4)",cypress,cypress,value_or_attribute_correctness,value_or_attribute_correctness,ast_assertion_semantic_matcher,matcher:haveprop;value_attribute_current_matcher,correct,correct,Assertion chain grouping and matcher extraction match sampled evidence.
,UI5/webcomponents,a1fc5f366499dac3ad45d5030b88652b,Cypress,38,"cy.get(""@form"")
			.should(""have.prop"", ""columnsS"", 1)
			.and","cy.get(""@form"")
			.should(""have.prop"", ""columnsS"", 1)
			.and(""have.prop"", ""labelSpanS"", 12)",1,12,"[""should:have.prop"", ""and:have.prop"", ""and:have.prop"", ""and:have.prop"", ""and:have.prop"", ""and:have.prop"", ""and:have.prop"", ""and:have.prop"", ""and:have.prop"", ""and:have.prop"", ""and:have.prop"", ""and:have.prop""]",and,have.prop,locator,cy,"[""cy"",""get"",""should"",""and"",""and"",""and"",""and"",""and"",""and"",""and"",""and"",""and"",""and"",""and""]","cy.get(""@form"")
			.should(""have.prop"", ""columnsS"", 1)
			.and(""have.prop"", ""labelSpanS"", 12)
			.and(""have.prop"", ""emptySpanS"", 0)
			.and(""have.prop"", ""columnsM"", 1)
			.and(""have.prop"", ""labelSpanM"", 4)
			.and(""have.prop"", ""emptySpanM"", 0)
			.and(""have.prop"", ""columnsL"", 2)
			.and(""have.prop"",",scalar_property,,0,,0,1,within,"cy.get(""@form"")
			.should(""have.prop"", ""columnsS"", 1)
			.and(""have.prop"", ""labelSpanS"", 12)
			.and(""have.prop"", ""emptySpanS"", 0)
			.and(""have.prop"", ""columnsM"", 1)
			.and(""have.prop"", ""labelSpanM"", 4)
			.and(""have.prop"", ""emptySpanM"", 0)
			.and(""have.prop"", ""columnsL"", 2)
			.and(""have.prop"", ""labelSpanL"", 4)
			.and(""have.prop"", ""emptySpanL"", 0)
			.and(""have.prop"", ""columnsXl"", 3)
			.and(""have.prop"", ""emptySpanXl"", 0)
			.and(""have.prop"", ""labelSpanXl"", 4)",cypress,cypress,value_or_attribute_correctness,value_or_attribute_correctness,ast_assertion_semantic_matcher,matcher:haveprop;value_attribute_current_matcher,correct,correct,Assertion chain grouping and matcher extraction match sampled evidence.
